phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
mean_sphered_cell_volume	2	27673819	27673833	2_27261087_28238911	A	{14.0: 33915.23, 15.0: 376521.91, 16.0: 248118.82, 17.0: 493.65, 19.0: 2496.45}	2.14e-8	+	not	0.0	0.0										0.865, 0.0808, 0.507, 0.492, 0.546	NA, NA, NA, NA, NA	{14.0: 1941.7, 15.0: 2128.58, 16.0: 6081.79, 17.0: 3066.91, 19.0: 7.04}	{14.0: 745.33, 15.0: 7279.31, 16.0: 5221.97, 17.0: 15.39, 19.0: 0.0}	{14.0: 2.0, 15.0: 2314.46, 16.0: 443.52, 17.0: 0.02, 19.0: 0.0}	{14.0: 1307.49, 15.0: 12752.79, 16.0: 7940.42, 17.0: 9.3, 19.0: 50.0}	{14.0: 1501.24, 15.0: 17218.86, 16.0: 10153.92, 17.0: 69.04, 19.0: 108.96}
platelet_count	2	27673819	27673833	2_27254189_28663289	A	{14.0: 34466.66, 15.0: 381846.17, 16.0: 251820.16, 17.0: 505.51, 19.0: 2531.57}	1.39e-15	-	not	0.0	0.0										0.618, 0.0448, 0.736, 0.309, 0.868	NA, -, NA, NA, NA	{14.0: 2016.47, 15.0: 2164.05, 16.0: 6229.98, 17.0: 3157.49, 19.0: 6.04}	{14.0: 764.37, 15.0: 7450.55, 16.0: 5345.69, 17.0: 15.39, 19.0: 0.0}	{14.0: 2.0, 15.0: 2360.47, 16.0: 457.51, 17.0: 0.02, 19.0: 0.0}	{14.0: 1340.33, 15.0: 12957.78, 16.0: 8090.59, 17.0: 9.3, 19.0: 48.0}	{14.0: 1536.12, 15.0: 17599.27, 16.0: 10379.63, 17.0: 71.04, 19.0: 107.96}
platelet_crit	2	27673819	27673833	2_27254189_28663289	A	{14.0: 34412.77, 15.0: 381750.93, 16.0: 251710.19, 17.0: 495.69, 19.0: 2512.48}	3.03e-12	-	not	0.0	0.0										0.512, 0.0172, 0.195, 0.38, 0.945	NA, -, NA, NA, NA	{14.0: 2013.39, 15.0: 2170.64, 16.0: 6235.52, 17.0: 3147.44, 19.0: 7.04}	{14.0: 768.35, 15.0: 7443.71, 16.0: 5348.55, 17.0: 15.39, 19.0: 0.0}	{14.0: 2.0, 15.0: 2361.47, 16.0: 456.51, 17.0: 0.02, 19.0: 0.0}	{14.0: 1329.85, 15.0: 12968.78, 16.0: 8087.07, 17.0: 9.3, 19.0: 51.0}	{14.0: 1537.23, 15.0: 17599.86, 16.0: 10374.93, 17.0: 72.04, 19.0: 109.96}
shbg	2	27673819	27673833	2_26838926_28685600	A	{14.0: 31360.73, 15.0: 346565.53, 16.0: 228633.7, 17.0: 457.72, 19.0: 2298.38}	3.65e-11	+	confidently	0.969330151849902	0.984544	0.921460709272234	0.993315	0.970236	0.995647	0.991695	0.984544	0.0	0.605072	0.0	0.37, 0.242, 0.213, 0.702, 0.018	NA, NA, NA, NA, +	{14.0: 1830.09, 15.0: 1980.2, 16.0: 5709.91, 17.0: 2870.78, 19.0: 7.04}	{14.0: 684.42, 15.0: 6754.4, 16.0: 4769.79, 17.0: 15.39, 19.0: 0.0}	{14.0: 2.0, 15.0: 2100.42, 16.0: 415.56, 17.0: 0.02, 19.0: 0.0}	{14.0: 1187.86, 15.0: 11629.7, 16.0: 7241.64, 17.0: 7.8, 19.0: 45.0}	{14.0: 1378.83, 15.0: 15710.4, 16.0: 9280.88, 17.0: 65.94, 19.0: 95.96}
total_protein	2	27673819	27673833	2_26812669_28719035	A	{14.0: 31583.29, 15.0: 349095.42, 16.0: 230288.73, 17.0: 458.14, 19.0: 2318.49}	7.58e-14	-	not	0.0	0.0										0.175, 0.453, 0.0189, 0.783, 0.157	NA, NA, -, NA, NA	{14.0: 1856.15, 15.0: 2000.36, 16.0: 5763.71, 17.0: 2890.77, 19.0: 7.04}	{14.0: 684.53, 15.0: 6817.95, 16.0: 4785.13, 17.0: 14.39, 19.0: 0.0}	{14.0: 2.0, 15.0: 2107.44, 16.0: 422.54, 17.0: 0.02, 19.0: 0.0}	{14.0: 1211.13, 15.0: 11753.55, 16.0: 7285.5, 17.0: 8.82, 19.0: 47.0}	{14.0: 1393.41, 15.0: 15839.48, 16.0: 9349.22, 17.0: 65.94, 19.0: 95.96}
triglycerides	2	27673819	27673833	2_26799018_28787264	A	{14.0: 33933.55, 15.0: 375938.43, 16.0: 248064.61, 17.0: 486.96, 19.0: 2504.51}	4.12e-28	-	doubly	0.996119377024031	0.850185	0.979567077918253	0.0	0.700403	1.0	0.0763032	0.902291	0.0	0.997478	0.0	0.768, 0.0805, 0.391, 0.268, 0.0872	NA, NA, NA, NA, NA	{14.0: 1990.81, 15.0: 2154.5, 16.0: 6189.55, 17.0: 3115.13, 19.0: 8.04}	{14.0: 753.96, 15.0: 7432.36, 16.0: 5227.29, 17.0: 16.39, 19.0: 0.0}	{14.0: 2.0, 15.0: 2303.45, 16.0: 458.53, 17.0: 0.02, 19.0: 0.0}	{14.0: 1315.98, 15.0: 12771.83, 16.0: 7926.89, 17.0: 8.3, 19.0: 45.0}	{14.0: 1509.58, 15.0: 17309.7, 16.0: 10167.55, 17.0: 71.23, 19.0: 103.96}
urate	2	27673819	27673833	2_26880609_28659127	A	{14.0: 33887.38, 15.0: 375746.52, 16.0: 248056.25, 17.0: 492.44, 19.0: 2479.48}	5.66e-13	-	not	0.0	0.0										0.948, 0.362, 0.371, 0.133, 0.134	NA, NA, NA, NA, NA	{14.0: 1996.98, 15.0: 2159.21, 16.0: 6171.16, 17.0: 3115.64, 19.0: 7.04}	{14.0: 762.85, 15.0: 7405.89, 16.0: 5237.87, 17.0: 15.39, 19.0: 0.0}	{14.0: 2.0, 15.0: 2303.46, 16.0: 456.52, 17.0: 0.02, 19.0: 0.0}	{14.0: 1313.35, 15.0: 12777.52, 16.0: 7921.83, 17.0: 8.3, 19.0: 49.0}	{14.0: 1512.47, 15.0: 17307.52, 16.0: 10168.7, 17.0: 71.37, 19.0: 101.96}
eosinophil_count	2	28685815	28685829	2_28553806_28894435	A	{12.0: 344693.55, 13.0: 0.0, 14.0: 0.0, 15.0: 178145.39, 16.0: 147323.06}	2.79e-28	+	confidently	0.991930701245097	1.0	0.997024045635569	1.0	1.0	1.0	1.0	1.0	0.969787223538852	1.0	0.650141	0.129, 0.00979, 0.779, 0.018, 0.134	NA, +, NA, +, NA	{12.0: 3155.61, 13.0: 0.0, 14.0: 0.0, 15.0: 5297.01, 16.0: 5083.38}	{12.0: 8183.24, 13.0: 0.0, 14.0: 0.0, 15.0: 3827.45, 16.0: 1531.31}	{12.0: 833.29, 13.0: 0.0, 14.0: 0.0, 15.0: 1786.31, 16.0: 200.4}	{12.0: 11447.74, 13.0: 0.0, 14.0: 0.0, 15.0: 6102.24, 16.0: 4846.02}	{12.0: 15114.33, 13.0: 0.0, 14.0: 0.0, 15.0: 8024.51, 16.0: 6503.16}
eosinophil_percent	2	28685815	28685829	2_28553806_28894435	A	{12.0: 344732.08, 13.0: 0.0, 14.0: 0.0, 15.0: 178185.03, 16.0: 147250.89}	2.9e-25	+	confidently	0.818230423628603	1.0	0.96217091723951	1.0	1.0	1.0	1.0	1.0	0.123921021263434	1.0	0.362287	0.162, 0.0166, 0.671, 0.00802, 0.0803	NA, +, NA, +, NA	{12.0: 3152.1, 13.0: 0.0, 14.0: 0.0, 15.0: 5291.75, 16.0: 5092.15}	{12.0: 8187.9, 13.0: 0.0, 14.0: 0.0, 15.0: 3819.8, 16.0: 1534.3}	{12.0: 836.29, 13.0: 0.0, 14.0: 0.0, 15.0: 1784.45, 16.0: 199.26}	{12.0: 11466.67, 13.0: 0.0, 14.0: 0.0, 15.0: 6086.6, 16.0: 4844.73}	{12.0: 15114.94, 13.0: 0.0, 14.0: 0.0, 15.0: 8021.9, 16.0: 6505.16}
mean_platelet_volume	2	106510441	106510491	2_106134024_106662741	AC	{22.5: 183428.22, 23.5: 41.63, 24.5: 2185.92, 25.5: 59925.38, 26.5: 133255.31, 27.5: 276127.0, 28.5: 991.67, 29.5: 15263.49}	6.93e-29	-	confidently	0.996427258745435	1.0	0.912959085534476	1.0	1.0	1.0	1.0	1.0	0.986146102668602	0.979418	1.0	0.202, 0.00636, 0.0248, 0.38, 0.195	NA, -, -, NA, NA	{22.5: 2680.12, 23.5: 74.42, 24.5: 3.55, 25.5: 1286.85, 26.5: 5862.17, 27.5: 3606.4, 28.5: 2.88, 29.5: 59.65}	{22.5: 3592.08, 23.5: 26.24, 24.5: 9.04, 25.5: 842.69, 26.5: 2329.22, 27.5: 6677.95, 28.5: 18.9, 29.5: 81.65}	{22.5: 838.77, 23.5: 1.72, 24.5: 0.0, 25.5: 106.19, 26.5: 660.08, 27.5: 1208.26, 28.5: 0.26, 29.5: 5.11}	{22.5: 6529.31, 23.5: 2.03, 24.5: 78.11, 25.5: 1865.77, 26.5: 4216.8, 27.5: 9078.65, 28.5: 29.36, 29.5: 647.92}	{22.5: 7993.12, 23.5: 4.26, 24.5: 87.85, 25.5: 2700.46, 26.5: 6561.23, 27.5: 11753.15, 28.5: 97.7, 29.5: 499.04}
platelet_distribution_width	2	106510441	106510491	2_106067531_106662741	AC	{22.5: 183487.31, 23.5: 41.27, 24.5: 2177.57, 25.5: 59840.54, 26.5: 133295.23, 27.5: 275794.38, 28.5: 991.96, 29.5: 15308.32}	7.16e-21	-	not	0.0606693448282926	0.0	0.0472829487214263	0.00837485	0.0	0.0179196	0.0170523	0.0	0.0153448936660784	0.0	0.0536231	0.821, 0.0698, 0.16, 0.00672, 0.00682	NA, NA, NA, -, -	{22.5: 2682.52, 23.5: 73.35, 24.5: 3.5, 25.5: 1277.76, 26.5: 5859.94, 27.5: 3617.43, 28.5: 2.88, 29.5: 58.63}	{22.5: 3573.85, 23.5: 26.07, 24.5: 9.63, 25.5: 841.13, 26.5: 2333.91, 27.5: 6694.56, 28.5: 18.9, 29.5: 79.74}	{22.5: 842.93, 23.5: 1.72, 24.5: 0.0, 25.5: 105.16, 26.5: 658.64, 27.5: 1206.7, 28.5: 0.26, 29.5: 4.98}	{22.5: 6515.12, 23.5: 1.95, 24.5: 78.69, 25.5: 1877.45, 26.5: 4206.2, 27.5: 9085.52, 28.5: 29.55, 29.5: 653.4}	{22.5: 7991.68, 23.5: 4.26, 24.5: 86.42, 25.5: 2698.44, 26.5: 6564.98, 27.5: 11752.7, 28.5: 97.29, 29.5: 501.0}
glycated_haemoglobin	2	111874390	111874405	2_111735787_112065147	A	{15.0: 41226.67, 16.0: 530376.25, 17.0: 89689.08}	2.21e-9	-	not	0.0	0.403469										0.686, 0.395, 0.27, 0.496, 0.609	NA, NA, NA, NA, NA	{15.0: 1903.68, 16.0: 6826.27, 17.0: 2980.05}	{15.0: 774.11, 16.0: 11438.44, 17.0: 1087.45}	{15.0: 328.54, 16.0: 1711.54, 17.0: 731.92}	{15.0: 1190.94, 16.0: 17591.25, 17.0: 3277.81}	{15.0: 1818.19, 16.0: 24181.7, 17.0: 3158.11}
lymphocyte_percent	2	111874390	111874405	2_111461214_112911523	A	{15.0: 41871.06, 16.0: 537451.06, 17.0: 90845.88}	1.47e-9	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.325, 0.127, 0.726, 0.0614, 0.716	NA, NA, NA, NA, NA	{15.0: 2181.47, 16.0: 7839.57, 17.0: 3514.96}	{15.0: 785.52, 16.0: 11659.1, 17.0: 1097.38}	{15.0: 333.62, 16.0: 1732.13, 17.0: 754.25}	{15.0: 1221.83, 16.0: 17850.11, 17.0: 3326.06}	{15.0: 1853.82, 16.0: 24568.67, 17.0: 3219.51}
platelet_count	2	111874390	111874405	2_111743604_112400538	A	{15.0: 42001.91, 16.0: 538078.45, 17.0: 91089.64}	2.54e-13	-	confidently	0.999843452960039	1.0	0.999003697195295	1.0	1.0	1.0	1.0	1.0	0.997829483471132	1.0	1.0	0.286, 0.973, 0.0121, 0.187, 0.0978	NA, NA, -, NA, NA	{15.0: 2190.11, 16.0: 7862.42, 17.0: 3521.47}	{15.0: 793.08, 16.0: 11687.49, 17.0: 1095.43}	{15.0: 331.7, 16.0: 1732.05, 17.0: 756.25}	{15.0: 1233.78, 16.0: 17897.63, 17.0: 3314.59}	{15.0: 1857.45, 16.0: 24617.2, 17.0: 3219.35}
platelet_crit	2	111874390	111874405	2_111683078_112437517	A	{15.0: 42023.66, 16.0: 537810.08, 17.0: 91048.26}	3.95e-16	-	confidently	0.999913824602524	1.0	0.998951228269826	1.0	1.0	1.0	1.0	1.0	0.991615122055952	1.0	1.0	0.213, 0.554, 0.0054, 0.918, 0.023	NA, NA, -, NA, -	{15.0: 2200.68, 16.0: 7852.18, 17.0: 3521.14}	{15.0: 794.41, 16.0: 11687.07, 17.0: 1094.52}	{15.0: 331.65, 16.0: 1730.1, 17.0: 758.25}	{15.0: 1229.65, 16.0: 17900.7, 17.0: 3315.65}	{15.0: 1856.71, 16.0: 24613.35, 17.0: 3223.94}
alanine_aminotransferase	2	111878544	111878598	2_111753544_112003544	CCG	{8.33: 1301.41, 11.33: 340.83, 12.33: 67.25, 13.33: 1547.62, 14.33: 20329.46, 15.33: 1792.68, 16.33: 670.84, 17.33: 482692.86, 18.33: 43644.47, 19.33: 36379.3, 20.33: 6081.92, 21.33: 7990.59, 22.33: 394.29, 23.33: 1189.96, 24.33: 6955.6, 25.33: 1797.35, 26.33: 2120.44, 27.33: 3131.13, 28.33: 5523.05, 29.33: 7076.75, 30.33: 12777.44, 31.33: 4444.65, 32.33: 6396.0, 33.33: 1799.44, 34.33: 1241.02, 35.33: 1069.27, 36.33: 2689.61}	1.15e-9	-	doubly	0.964676196555624	1.0										0.0399, 0.782, 0.662, 0.881, 0.491	-, NA, NA, NA, NA	{8.33: 7.92, 11.33: 1.13, 12.33: 1.22, 13.33: 2.61, 14.33: 253.46, 15.33: 900.48, 16.33: 6.55, 17.33: 8369.31, 18.33: 1709.34, 19.33: 93.82, 20.33: 228.79, 21.33: 401.65, 22.33: 1.03, 23.33: 508.46, 24.33: 380.33, 25.33: 75.82, 26.33: 2.86, 27.33: 6.77, 28.33: 15.25, 29.33: 16.3, 30.33: 218.66, 31.33: 8.88, 32.33: 12.45, 33.33: 6.84, 34.33: 3.24, 35.33: 5.02, 36.33: 231.3}	{8.33: 62.96, 11.33: 0.97, 12.33: 3.43, 13.33: 9.56, 14.33: 485.97, 15.33: 82.49, 16.33: 36.91, 17.33: 9756.83, 18.33: 1589.07, 19.33: 600.43, 20.33: 295.61, 21.33: 179.76, 22.33: 6.04, 23.33: 24.24, 24.33: 24.23, 25.33: 6.41, 26.33: 6.21, 27.33: 8.21, 28.33: 20.99, 29.33: 36.76, 30.33: 72.87, 31.33: 37.52, 32.33: 34.24, 33.33: 9.07, 34.33: 7.33, 35.33: 2.0, 36.33: 24.67}	{8.33: 0.46, 11.33: 0.01, 12.33: 7.73, 13.33: 0.71, 14.33: 323.66, 15.33: 3.53, 16.33: 12.14, 17.33: 2211.08, 18.33: 124.54, 19.33: 34.95, 20.33: 18.11, 21.33: 12.3, 22.33: 0.74, 23.33: 2.9, 24.33: 0.76, 25.33: 0.17, 26.33: 0.27, 27.33: 0.21, 28.33: 0.46, 29.33: 1.79, 30.33: 2.3, 31.33: 0.94, 32.33: 0.85, 33.33: 0.18, 34.33: 0.45, 35.33: 0.01, 36.33: 3.32}	{8.33: 42.35, 11.33: 15.09, 12.33: 1.03, 13.33: 42.54, 14.33: 545.31, 15.33: 102.19, 16.33: 25.83, 17.33: 16049.44, 18.33: 1233.28, 19.33: 1426.94, 20.33: 202.06, 21.33: 311.51, 22.33: 17.78, 23.33: 58.9, 24.33: 260.38, 25.33: 77.2, 26.33: 65.64, 27.33: 114.83, 28.33: 147.15, 29.33: 248.49, 30.33: 468.09, 31.33: 165.58, 32.33: 265.78, 33.33: 63.6, 34.33: 39.22, 35.33: 29.85, 36.33: 68.04}	{8.33: 51.45, 11.33: 12.2, 12.33: 2.61, 13.33: 66.25, 14.33: 832.52, 15.33: 73.05, 16.33: 38.65, 17.33: 20911.2, 18.33: 2119.98, 19.33: 1554.85, 20.33: 311.66, 21.33: 309.25, 22.33: 24.17, 23.33: 54.39, 24.33: 354.29, 25.33: 118.11, 26.33: 116.86, 27.33: 130.87, 28.33: 214.26, 29.33: 336.85, 30.33: 684.14, 31.33: 231.58, 32.33: 280.73, 33.33: 103.7, 34.33: 64.41, 35.33: 29.28, 36.33: 160.76}
alkaline_phosphatase	2	111878544	111878598	2_111743691_112058001	CCG	{8.33: 1306.6, 11.33: 342.48, 12.33: 66.8, 13.33: 1546.92, 14.33: 20362.78, 15.33: 1783.58, 16.33: 670.29, 17.33: 482779.08, 18.33: 43670.61, 19.33: 36328.49, 20.33: 6113.31, 21.33: 8010.02, 22.33: 394.9, 23.33: 1181.95, 24.33: 6958.34, 25.33: 1796.16, 26.33: 2109.17, 27.33: 3131.84, 28.33: 5537.08, 29.33: 7115.24, 30.33: 12783.02, 31.33: 4455.33, 32.33: 6419.13, 33.33: 1808.13, 34.33: 1245.17, 35.33: 1067.36, 36.33: 2689.78}	1.65e-9	-	not	0.109917974644528	0.0699446										0.185, 0.412, 0.224, 0.15, 0.739	NA, NA, NA, NA, NA	{8.33: 8.01, 11.33: 1.12, 12.33: 1.27, 13.33: 2.57, 14.33: 252.61, 15.33: 905.58, 16.33: 6.58, 17.33: 8375.63, 18.33: 1707.55, 19.33: 92.16, 20.33: 224.98, 21.33: 398.5, 22.33: 1.01, 23.33: 510.56, 24.33: 381.42, 25.33: 75.96, 26.33: 2.78, 27.33: 6.69, 28.33: 15.09, 29.33: 15.91, 30.33: 217.45, 31.33: 8.75, 32.33: 12.33, 33.33: 6.62, 34.33: 3.04, 35.33: 5.02, 36.33: 234.29}	{8.33: 62.96, 11.33: 0.97, 12.33: 3.37, 13.33: 9.46, 14.33: 487.23, 15.33: 78.7, 16.33: 36.95, 17.33: 9771.8, 18.33: 1583.66, 19.33: 604.95, 20.33: 296.46, 21.33: 185.18, 22.33: 6.14, 23.33: 24.29, 24.33: 24.36, 25.33: 6.51, 26.33: 6.29, 27.33: 8.3, 28.33: 22.51, 29.33: 37.27, 30.33: 72.38, 31.33: 35.77, 32.33: 34.3, 33.33: 8.83, 34.33: 7.52, 35.33: 2.0, 36.33: 24.6}	{8.33: 0.46, 11.33: 0.01, 12.33: 7.59, 13.33: 0.69, 14.33: 322.76, 15.33: 3.67, 16.33: 12.18, 17.33: 2214.88, 18.33: 124.1, 19.33: 34.75, 20.33: 17.82, 21.33: 12.27, 22.33: 0.75, 23.33: 2.9, 24.33: 0.76, 25.33: 0.17, 26.33: 0.27, 27.33: 0.2, 28.33: 0.46, 29.33: 1.8, 30.33: 2.3, 31.33: 0.94, 32.33: 0.87, 33.33: 0.18, 34.33: 0.46, 35.33: 0.01, 36.33: 3.3}	{8.33: 42.19, 11.33: 15.51, 12.33: 0.98, 13.33: 42.44, 14.33: 549.37, 15.33: 102.4, 16.33: 26.33, 17.33: 16048.32, 18.33: 1232.51, 19.33: 1417.99, 20.33: 203.77, 21.33: 311.32, 22.33: 18.16, 23.33: 58.85, 24.33: 259.41, 25.33: 75.59, 26.33: 68.36, 27.33: 114.45, 28.33: 148.49, 29.33: 247.89, 30.33: 469.4, 31.33: 166.23, 32.33: 272.15, 33.33: 62.45, 34.33: 38.6, 35.33: 29.82, 36.33: 71.1}	{8.33: 51.07, 11.33: 12.18, 12.33: 2.61, 13.33: 66.32, 14.33: 835.39, 15.33: 73.08, 16.33: 38.7, 17.33: 20914.7, 18.33: 2118.96, 19.33: 1559.98, 20.33: 311.76, 21.33: 309.25, 22.33: 23.69, 23.33: 53.81, 24.33: 352.42, 25.33: 117.9, 26.33: 116.91, 27.33: 130.33, 28.33: 215.21, 29.33: 336.89, 30.33: 683.61, 31.33: 233.39, 32.33: 280.55, 33.33: 103.69, 34.33: 63.96, 35.33: 29.28, 36.33: 162.44}
eosinophil_count	2	111878544	111878598	2_111588221_112546566	CCG	{8.33: 1323.68, 11.33: 342.97, 12.33: 68.53, 13.33: 1570.1, 14.33: 20638.26, 15.33: 1812.14, 16.33: 684.02, 17.33: 489374.95, 18.33: 44295.11, 19.33: 36724.19, 20.33: 6150.2, 21.33: 8138.35, 22.33: 404.09, 23.33: 1195.77, 24.33: 7035.39, 25.33: 1830.56, 26.33: 2152.27, 27.33: 3155.38, 28.33: 5579.97, 29.33: 7183.03, 30.33: 12909.66, 31.33: 4487.26, 32.33: 6493.11, 33.33: 1815.14, 34.33: 1254.13, 35.33: 1081.06, 36.33: 2734.93}	4.96e-58	+	confidently	0.999999791865959	1.0	0.999962032752984	1.0	1.0	1.0	1.0	1.0	0.999999122102222	1.0	1.0	0.274, 0.0336, 0.775, 0.00039, 0.00557	NA, +, NA, +, +	{8.33: 7.84, 11.33: 1.12, 12.33: 1.3, 13.33: 2.63, 14.33: 257.69, 15.33: 903.62, 16.33: 6.4, 17.33: 8410.18, 18.33: 1729.08, 19.33: 96.94, 20.33: 226.0, 21.33: 403.52, 22.33: 1.02, 23.33: 509.23, 24.33: 381.18, 25.33: 76.97, 26.33: 2.66, 27.33: 6.57, 28.33: 13.87, 29.33: 16.88, 30.33: 211.81, 31.33: 7.97, 32.33: 11.92, 33.33: 5.65, 34.33: 2.98, 35.33: 5.99, 36.33: 240.57}	{8.33: 65.52, 11.33: 1.0, 12.33: 3.62, 13.33: 9.55, 14.33: 481.77, 15.33: 82.37, 16.33: 38.18, 17.33: 9833.04, 18.33: 1598.05, 19.33: 609.24, 20.33: 302.39, 21.33: 187.44, 22.33: 6.14, 23.33: 24.93, 24.33: 24.83, 25.33: 6.64, 26.33: 7.06, 27.33: 8.62, 28.33: 25.14, 29.33: 39.13, 30.33: 75.11, 31.33: 36.51, 32.33: 34.29, 33.33: 9.33, 34.33: 7.72, 35.33: 2.05, 36.33: 25.36}	{8.33: 0.46, 11.33: 0.01, 12.33: 7.68, 13.33: 0.69, 14.33: 327.56, 15.33: 3.21, 16.33: 13.97, 17.33: 2261.57, 18.33: 126.2, 19.33: 34.9, 20.33: 17.34, 21.33: 12.21, 22.33: 0.74, 23.33: 2.91, 24.33: 0.87, 25.33: 0.17, 26.33: 0.26, 27.33: 0.2, 28.33: 0.4, 29.33: 1.54, 30.33: 2.08, 31.33: 0.89, 32.33: 0.74, 33.33: 0.14, 34.33: 0.42, 35.33: 0.01, 36.33: 3.38}	{8.33: 42.19, 11.33: 15.91, 12.33: 0.98, 13.33: 43.1, 14.33: 570.39, 15.33: 103.39, 16.33: 27.16, 17.33: 16254.19, 18.33: 1243.61, 19.33: 1448.94, 20.33: 205.36, 21.33: 314.73, 22.33: 17.78, 23.33: 59.49, 24.33: 265.12, 25.33: 78.22, 26.33: 69.73, 27.33: 114.28, 28.33: 154.55, 29.33: 257.46, 30.33: 481.1, 31.33: 167.62, 32.33: 266.3, 33.33: 63.92, 34.33: 40.5, 35.33: 30.28, 36.33: 70.07}	{8.33: 52.79, 11.33: 12.16, 12.33: 3.04, 13.33: 68.33, 14.33: 853.05, 15.33: 72.14, 16.33: 39.49, 17.33: 21233.8, 18.33: 2167.76, 19.33: 1590.08, 20.33: 310.56, 21.33: 318.85, 22.33: 24.2, 23.33: 54.99, 24.33: 359.33, 25.33: 120.46, 26.33: 117.84, 27.33: 130.96, 28.33: 211.83, 29.33: 338.84, 30.33: 690.11, 31.33: 235.45, 32.33: 287.33, 33.33: 104.03, 34.33: 64.54, 35.33: 28.76, 36.33: 163.48}
eosinophil_percent	2	111878544	111878598	2_111588221_112546566	CCG	{8.33: 1329.06, 11.33: 344.17, 12.33: 68.33, 13.33: 1569.99, 14.33: 20637.97, 15.33: 1809.2, 16.33: 680.04, 17.33: 489320.57, 18.33: 44252.78, 19.33: 36836.56, 20.33: 6155.67, 21.33: 8118.36, 22.33: 400.8, 23.33: 1199.73, 24.33: 7045.74, 25.33: 1811.51, 26.33: 2150.41, 27.33: 3161.86, 28.33: 5564.75, 29.33: 7175.11, 30.33: 12914.32, 31.33: 4505.7, 32.33: 6497.45, 33.33: 1835.42, 34.33: 1260.32, 35.33: 1071.41, 36.33: 2723.1}	5.88e-75	+	confidently	0.999999998299554	1.0	0.999997076183839	1.0	1.0	1.0	1.0	1.0	0.999999992930571	1.0	1.0	0.17, 0.00567, 0.568, 0.000166, 0.00177	NA, +, NA, +, +	{8.33: 7.7, 11.33: 1.15, 12.33: 1.29, 13.33: 2.6, 14.33: 257.26, 15.33: 900.55, 16.33: 6.43, 17.33: 8418.54, 18.33: 1721.11, 19.33: 96.28, 20.33: 224.47, 21.33: 408.67, 22.33: 1.01, 23.33: 515.15, 24.33: 380.35, 25.33: 75.93, 26.33: 2.69, 27.33: 6.67, 28.33: 13.24, 29.33: 16.71, 30.33: 211.46, 31.33: 7.87, 32.33: 11.84, 33.33: 5.8, 34.33: 3.0, 35.33: 5.95, 36.33: 237.9}	{8.33: 65.76, 11.33: 0.99, 12.33: 3.58, 13.33: 9.54, 14.33: 483.75, 15.33: 82.24, 16.33: 38.61, 17.33: 9824.14, 18.33: 1606.15, 19.33: 613.13, 20.33: 302.06, 21.33: 186.87, 22.33: 6.13, 23.33: 24.75, 24.33: 25.03, 25.33: 6.49, 26.33: 6.92, 27.33: 8.36, 28.33: 22.78, 29.33: 38.55, 30.33: 74.0, 31.33: 36.49, 32.33: 34.21, 33.33: 8.99, 34.33: 7.46, 35.33: 2.05, 36.33: 26.01}	{8.33: 0.46, 11.33: 0.01, 12.33: 7.75, 13.33: 0.7, 14.33: 326.6, 15.33: 3.2, 16.33: 13.94, 17.33: 2263.03, 18.33: 126.5, 19.33: 34.61, 20.33: 16.8, 21.33: 12.15, 22.33: 0.76, 23.33: 2.93, 24.33: 0.88, 25.33: 0.17, 26.33: 0.26, 27.33: 0.2, 28.33: 0.4, 29.33: 1.54, 30.33: 2.08, 31.33: 0.89, 32.33: 0.74, 33.33: 0.14, 34.33: 0.42, 35.33: 0.01, 36.33: 3.38}	{8.33: 42.75, 11.33: 16.16, 12.33: 0.94, 13.33: 42.71, 14.33: 559.41, 15.33: 104.1, 16.33: 27.77, 17.33: 16275.4, 18.33: 1253.29, 19.33: 1448.66, 20.33: 209.53, 21.33: 312.0, 22.33: 17.86, 23.33: 59.88, 24.33: 261.09, 25.33: 78.09, 26.33: 69.47, 27.33: 112.6, 28.33: 151.5, 29.33: 252.73, 30.33: 475.45, 31.33: 169.26, 32.33: 266.35, 33.33: 62.61, 34.33: 39.37, 35.33: 30.48, 36.33: 68.72}	{8.33: 53.11, 11.33: 12.07, 12.33: 3.06, 13.33: 68.59, 14.33: 852.05, 15.33: 72.41, 16.33: 39.44, 17.33: 21229.41, 18.33: 2172.4, 19.33: 1588.01, 20.33: 310.5, 21.33: 318.4, 22.33: 24.19, 23.33: 55.23, 24.33: 359.16, 25.33: 120.51, 26.33: 118.06, 27.33: 130.71, 28.33: 212.64, 29.33: 338.37, 30.33: 688.61, 31.33: 234.81, 32.33: 289.0, 33.33: 104.07, 34.33: 64.79, 35.33: 29.06, 36.33: 165.56}
