phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	other_ethnicity_association_p_values	other_ethnic_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies	susie_pip_ratio_4	finemap_pip_ratio_4	finemap_pip_prior_std_0.005
eosinophil_percent	10	94596855	94596893	10_94076867_94971093	AC	{14.5: 0.02%, 15.5: 0.25%, 16.5: 0.03%, 18.5: 0.81%, 19.5: 2.57%, 20.5: 23.11%, 21.5: 28.82%, 22.0: 0.00%, 22.5: 10.72%, 23.5: 31.56%, 24.5: 1.10%, 25.5: 0.99%, 26.5: 0.01%}	3.33e-19	-	intron:EXOC6:protein_coding	0.72, 0.0364, 0.73, 0.0282, 0.96	NaN, -, NaN, -, NaN	{14.5: 0.00%, 15.5: 0.03%, 16.5: 0.00%, 18.5: 2.20%, 19.5: 1.04%, 20.5: 22.59%, 21.5: 28.50%, 22.0: 0.00%, 22.5: 11.03%, 23.5: 32.44%, 24.5: 1.21%, 25.5: 0.96%, 26.5: 0.00%}	{14.5: 0.02%, 15.5: 0.13%, 16.5: 0.00%, 18.5: 0.32%, 19.5: 1.36%, 20.5: 38.90%, 21.5: 25.60%, 22.0: 0.08%, 22.5: 15.08%, 23.5: 16.95%, 24.5: 1.42%, 25.5: 0.13%, 26.5: 0.01%}	{15.5: 0.00%, 18.5: 0.52%, 19.5: 1.36%, 20.5: 76.94%, 21.5: 9.05%, 22.0: 0.01%, 22.5: 10.64%, 23.5: 1.40%, 24.5: 0.06%, 25.5: 0.02%, 26.5: 0.00%}	{14.5: 0.02%, 15.5: 0.22%, 16.5: 0.03%, 18.5: 0.73%, 19.5: 2.68%, 20.5: 22.42%, 21.5: 30.94%, 22.0: 0.00%, 22.5: 10.32%, 23.5: 30.68%, 24.5: 1.08%, 25.5: 0.88%, 26.5: 0.00%}	{14.5: 0.03%, 15.5: 0.28%, 16.5: 0.03%, 18.5: 0.88%, 19.5: 2.13%, 20.5: 25.03%, 21.5: 28.14%, 22.0: 0.00%, 22.5: 11.46%, 23.5: 29.68%, 24.5: 1.56%, 25.5: 0.77%, 26.5: 0.01%}	1.00	1.00	1.00
gamma_glutamyltransferase	1	27247247	27247280	1_26867928_27472994	A	{33.0: 0.00%, 34.0: 84.26%, 35.0: 7.75%, 36.0: 5.54%, 37.0: 2.45%}	1.52e-16	-	intron:NUDC:protein_coding	0.111, 0.809, 0.835, 0.618, 0.0918	NaN, NaN, NaN, NaN, NaN	{33.0: 0.04%, 34.0: 77.45%, 35.0: 16.30%, 36.0: 5.84%, 37.0: 0.37%}	{33.0: 0.12%, 34.0: 88.47%, 35.0: 7.33%, 36.0: 3.45%, 37.0: 0.62%}	{33.0: 0.81%, 34.0: 93.80%, 35.0: 4.88%, 36.0: 0.44%, 37.0: 0.08%}	{33.0: 0.00%, 34.0: 83.50%, 35.0: 8.20%, 36.0: 5.89%, 37.0: 2.41%}	{33.0: 0.01%, 34.0: 84.55%, 35.0: 8.11%, 36.0: 5.07%, 37.0: 2.26%}	0.00	0.97	1.00
glycated_haemoglobin	3	171498332	171498342	3_171199489_171958266	A	{9.0: 43.30%, 10.0: 39.58%, 11.0: 17.12%}	7.91e-18	+	intron:PLD1:protein_coding	0.109, 0.441, 0.72, 0.487, 0.065	NaN, NaN, NaN, NaN, NaN	{9.0: 18.24%, 10.0: 31.63%, 11.0: 50.13%}	{9.0: 34.59%, 10.0: 38.62%, 11.0: 26.80%}	{9.0: 36.77%, 10.0: 28.65%, 11.0: 34.58%}	{9.0: 41.25%, 10.0: 38.75%, 11.0: 20.00%}	{9.0: 40.38%, 10.0: 44.36%, 11.0: 15.26%}	1.00	1.00	1.00
glycated_haemoglobin	19	17252977	17253000	19_16987415_17559121	A	{20.0: 0.00%, 24.0: 60.29%, 25.0: 19.04%, 26.0: 20.61%, 27.0: 0.04%, 34.0: 0.01%}	1.32e-89	+	intron:MYO9B:protein_coding	0.37, 0.902, 0.248, 0.000298, 4.89e-6	NaN, NaN, NaN, +, +	{20.0: 0.01%, 24.0: 31.74%, 25.0: 38.69%, 26.0: 24.96%, 27.0: 3.91%, 34.0: 0.70%}	{20.0: 0.06%, 24.0: 62.67%, 25.0: 15.56%, 26.0: 21.61%, 27.0: 0.06%, 34.0: 0.04%}	{20.0: 0.04%, 24.0: 66.14%, 25.0: 26.63%, 26.0: 7.18%, 27.0: 0.01%, 34.0: 0.00%}	{20.0: 0.00%, 24.0: 59.81%, 25.0: 19.81%, 26.0: 20.35%, 27.0: 0.02%, 34.0: 0.01%}	{20.0: 0.01%, 24.0: 61.81%, 25.0: 19.02%, 26.0: 18.91%, 27.0: 0.23%, 34.0: 0.02%}	1.00	1.00	1.00
glycated_haemoglobin	22	30363907	30363935	22_29915197_31045120	AC	{9.5: 0.00%, 11.5: 9.31%, 12.5: 0.02%, 13.5: 38.09%, 14.5: 25.13%, 15.5: 21.93%, 16.5: 5.47%, 17.5: 0.04%, 18.5: 0.01%}	6.29e-33	+	intron:MTMR3:protein_coding	0.664, 0.515, 0.399, 0.0829, 0.218	NaN, NaN, NaN, NaN, NaN	{9.5: 0.00%, 11.5: 9.19%, 12.5: 0.88%, 13.5: 13.44%, 14.5: 6.95%, 15.5: 37.43%, 16.5: 28.53%, 17.5: 2.35%, 18.5: 1.24%}	{9.5: 0.00%, 11.5: 1.20%, 12.5: 0.00%, 13.5: 10.85%, 14.5: 30.24%, 15.5: 34.41%, 16.5: 20.46%, 17.5: 0.02%, 18.5: 2.83%}	{9.5: 0.00%, 11.5: 0.15%, 13.5: 18.01%, 14.5: 49.04%, 15.5: 18.17%, 16.5: 14.50%, 18.5: 0.14%}	{9.5: 0.00%, 11.5: 10.65%, 12.5: 0.01%, 13.5: 37.76%, 14.5: 23.79%, 15.5: 22.39%, 16.5: 5.36%, 17.5: 0.02%, 18.5: 0.01%}	{9.5: 0.01%, 11.5: 7.46%, 12.5: 0.03%, 13.5: 35.01%, 14.5: 28.59%, 15.5: 21.85%, 16.5: 6.92%, 17.5: 0.07%, 18.5: 0.05%}	1.00	1.00	1.00
haematocrit	12	48487503	48487518	12_48157900_49367534	A	{14.0: 10.23%, 15.0: 0.11%, 16.0: 52.18%, 17.0: 36.28%, 18.0: 1.21%}	8.85e-35	-	intron:SENP1:protein_coding	0.484, 0.00185, 0.533, 0.0169, 0.214	NaN, -, NaN, -, NaN	{14.0: 5.66%, 15.0: 25.20%, 16.0: 38.36%, 17.0: 24.97%, 18.0: 5.82%}	{14.0: 2.25%, 15.0: 0.07%, 16.0: 50.96%, 17.0: 45.41%, 18.0: 1.31%}	{14.0: 0.26%, 15.0: 0.19%, 16.0: 16.26%, 17.0: 82.91%, 18.0: 0.40%}	{14.0: 9.48%, 15.0: 0.12%, 16.0: 49.86%, 17.0: 39.40%, 18.0: 1.14%}	{14.0: 8.74%, 15.0: 0.19%, 16.0: 52.22%, 17.0: 37.29%, 18.0: 1.55%}	0.00	1.00	0.04
haematocrit	14	64714051	64714074	14_64489770_65002135	AAAC	{5.0: 7.30%, 6.0: 44.78%, 7.0: 47.92%}	1.00e-26	-	intron:ESR2:protein_coding	3.87e-6, 0.0832, 0.185, 0.265, 0.302	-, NaN, NaN, NaN, NaN	{5.0: 55.39%, 6.0: 9.27%, 7.0: 35.34%}	{5.0: 14.43%, 6.0: 52.71%, 7.0: 32.86%}	{5.0: 18.77%, 6.0: 30.64%, 7.0: 50.60%}	{5.0: 6.60%, 6.0: 45.51%, 7.0: 47.89%}	{5.0: 9.84%, 6.0: 42.70%, 7.0: 47.46%}	0.99	1.00	1.00
haematocrit	15	76246773	76246788	15_74906521_77652156	A	{14.0: 49.56%, 15.0: 47.81%, 16.0: 0.09%, 17.0: 2.54%}	3.72e-51	+	intron:NRG4:protein_coding	0.0888, 0.493, 0.92, 0.00162, 0.00053	NaN, NaN, NaN, +, +	{14.0: 30.48%, 15.0: 49.31%, 16.0: 7.04%, 17.0: 13.17%}	{14.0: 66.59%, 15.0: 32.42%, 16.0: 0.39%, 17.0: 0.60%}	{14.0: 61.50%, 15.0: 36.85%, 16.0: 1.54%, 17.0: 0.11%}	{14.0: 50.23%, 15.0: 47.49%, 16.0: 0.06%, 17.0: 2.22%}	{14.0: 50.10%, 15.0: 47.78%, 16.0: 0.16%, 17.0: 1.96%}	1.00	1.00	0.00
haemoglobin_concentration	14	64714051	64714074	14_64489770_65010166	AAAC	{5.0: 7.30%, 6.0: 44.77%, 7.0: 47.93%}	1.15e-24	-	intron:ESR2:protein_coding	1.45e-7, 0.288, 0.0495, 0.293, 0.168	-, NaN, -, NaN, NaN	{5.0: 55.41%, 6.0: 9.26%, 7.0: 35.34%}	{5.0: 14.49%, 6.0: 52.69%, 7.0: 32.82%}	{5.0: 18.89%, 6.0: 30.67%, 7.0: 50.43%}	{5.0: 6.66%, 6.0: 45.55%, 7.0: 47.79%}	{5.0: 9.87%, 6.0: 42.68%, 7.0: 47.45%}	0.79	0.74	0.99
haemoglobin_concentration	15	76246773	76246788	15_74764356_77451746	A	{14.0: 49.55%, 15.0: 47.82%, 16.0: 0.09%, 17.0: 2.54%}	3.95e-47	+	intron:NRG4:protein_coding	0.271, 0.653, 0.636, 0.000746, 0.000156	NaN, NaN, NaN, +, +	{14.0: 30.44%, 15.0: 49.32%, 16.0: 7.08%, 17.0: 13.16%}	{14.0: 66.43%, 15.0: 32.56%, 16.0: 0.39%, 17.0: 0.61%}	{14.0: 61.46%, 15.0: 36.89%, 16.0: 1.54%, 17.0: 0.11%}	{14.0: 50.18%, 15.0: 47.53%, 16.0: 0.06%, 17.0: 2.23%}	{14.0: 50.07%, 15.0: 47.80%, 16.0: 0.16%, 17.0: 1.97%}	1.00	1.00	1.00
haemoglobin_concentration	17	59450454	59450467	17_58465556_59623010	A	{12.0: 0.00%, 13.0: 81.07%, 14.0: 18.88%, 15.0: 0.04%}	7.24e-30	+	multigene;intron:RP11-332H18.5:lncRNA;intron:BCAS3:protein_coding	0.301, 0.299, 0.361, 0.5, 0.00416	NaN, NaN, NaN, NaN, +	{12.0: 1.09%, 13.0: 44.49%, 14.0: 54.41%, 15.0: 0.01%}	{12.0: 0.00%, 13.0: 68.57%, 14.0: 31.31%, 15.0: 0.12%}	{12.0: 0.00%, 13.0: 57.40%, 14.0: 42.47%, 15.0: 0.13%}	{12.0: 0.00%, 13.0: 82.01%, 14.0: 17.94%, 15.0: 0.05%}	{12.0: 0.01%, 13.0: 78.47%, 14.0: 21.46%, 15.0: 0.06%}	0.93	1.00	1.00
igf_1	1	214163477	214163513	1_213976097_214533356	A	{32.0: 0.47%, 33.0: 4.32%, 34.0: 0.05%, 35.0: 49.63%, 36.0: 45.48%, 37.0: 0.04%}	2.87e-15	+	intron:PROX1:protein_coding	0.2, 0.972, 0.343, 0.0113, 0.785	NaN, NaN, NaN, +, NaN	{32.0: 0.03%, 33.0: 0.37%, 34.0: 0.01%, 35.0: 29.71%, 36.0: 60.19%, 37.0: 9.68%}	{32.0: 0.12%, 33.0: 3.16%, 34.0: 0.05%, 35.0: 57.24%, 36.0: 39.29%, 37.0: 0.14%}	{32.0: 0.00%, 33.0: 4.87%, 34.0: 0.60%, 35.0: 52.39%, 36.0: 42.08%, 37.0: 0.07%}	{32.0: 0.62%, 33.0: 3.79%, 34.0: 0.04%, 35.0: 50.46%, 36.0: 45.06%, 37.0: 0.03%}	{32.0: 0.37%, 33.0: 3.56%, 34.0: 0.08%, 35.0: 47.19%, 36.0: 48.68%, 37.0: 0.12%}	0.00	1.00	1.00
igf_1	2	204311891	204311922	2_204186891_204436891	A	{28.0: 0.14%, 29.0: 0.17%, 31.0: 1.35%, 32.0: 55.43%, 33.0: 40.14%, 34.0: 2.77%}	3.97e-11	-	multigene;three_prime_UTR:ABI2:protein_coding;intron:RAPH1:protein_coding	0.137, 0.779, 0.645, 0.113, 0.686	NaN, NaN, NaN, NaN, NaN	{28.0: 0.01%, 29.0: 0.15%, 31.0: 8.78%, 32.0: 64.70%, 33.0: 26.00%, 34.0: 0.37%}	{28.0: 0.02%, 29.0: 0.72%, 31.0: 0.45%, 32.0: 41.58%, 33.0: 52.46%, 34.0: 4.78%}	{28.0: 0.01%, 29.0: 0.72%, 31.0: 3.17%, 32.0: 64.86%, 33.0: 29.20%, 34.0: 2.03%}	{28.0: 0.08%, 29.0: 0.25%, 31.0: 0.82%, 32.0: 54.84%, 33.0: 40.84%, 34.0: 3.16%}	{28.0: 0.13%, 29.0: 0.40%, 31.0: 1.39%, 32.0: 53.87%, 33.0: 41.72%, 34.0: 2.49%}	1.00	1.00	1.00
igf_1	3	141097028	141097042	3_140908481_141772221	A	{15.0: 55.27%, 16.0: 8.92%, 17.0: 35.82%}	2.38e-44	-	intron:ZBTB38:protein_coding	0.602, 0.138, 0.875, 0.0823, 0.651	NaN, NaN, NaN, NaN, NaN	{15.0: 15.42%, 16.0: 43.77%, 17.0: 40.81%}	{15.0: 65.88%, 16.0: 15.17%, 17.0: 18.95%}	{15.0: 68.46%, 16.0: 28.78%, 17.0: 2.76%}	{15.0: 56.43%, 16.0: 7.90%, 17.0: 35.67%}	{15.0: 59.03%, 16.0: 8.34%, 17.0: 32.63%}	0.05	0.80	1.00
igf_1	16	81581736	81581756	16_81345207_81900039	A	{19.0: 6.61%, 20.0: 46.33%, 21.0: 23.04%, 22.0: 23.90%, 23.0: 0.11%}	2.58e-30	-	intron:CMIP:protein_coding	0.117, 0.402, 0.0225, 0.0123, 0.0103	NaN, NaN, +, -, -	{19.0: 2.90%, 20.0: 40.47%, 21.0: 19.41%, 22.0: 34.27%, 23.0: 2.95%}	{19.0: 3.60%, 20.0: 41.74%, 21.0: 29.34%, 22.0: 25.03%, 23.0: 0.30%}	{19.0: 4.27%, 20.0: 15.24%, 21.0: 30.34%, 22.0: 49.55%, 23.0: 0.60%}	{19.0: 6.70%, 20.0: 45.90%, 21.0: 23.21%, 22.0: 24.07%, 23.0: 0.13%}	{19.0: 7.13%, 20.0: 45.25%, 21.0: 24.67%, 22.0: 22.73%, 23.0: 0.22%}	1.00	1.00	0.01
lymphocyte_count	2	129076444	129076494	2_128905338_129208550	CCG	{9.0: 6.61%, 17.0: 92.99%, 22.0: 0.40%}	2.01e-18	-	intergenic	0.355, 0.272, 1.0, 0.433, 0.0552	NaN, NaN, NaN, NaN, NaN	{9.0: 1.01%, 17.0: 98.96%, 22.0: 0.03%}	{9.0: 5.95%, 17.0: 93.79%, 22.0: 0.26%}	{9.0: 0.39%, 17.0: 99.58%, 22.0: 0.02%}	{9.0: 6.34%, 17.0: 93.31%, 22.0: 0.34%}	{9.0: 7.70%, 17.0: 91.88%, 22.0: 0.43%}	1.00	1.00	1.00
lymphocyte_count	12	12878680	12878694	12_12396151_13024030	A	{13.0: 0.12%, 14.0: 30.43%, 15.0: 18.94%, 16.0: 49.38%, 17.0: 1.13%}	1.18e-33	-	intergenic	0.458, 0.00741, 0.286, 0.151, 0.0805	NaN, -, NaN, NaN, NaN	{13.0: 0.26%, 14.0: 24.92%, 15.0: 49.89%, 16.0: 22.74%, 17.0: 2.20%}	{13.0: 0.16%, 14.0: 28.84%, 15.0: 18.53%, 16.0: 51.88%, 17.0: 0.59%}	{13.0: 0.12%, 14.0: 47.86%, 15.0: 5.20%, 16.0: 46.57%, 17.0: 0.26%}	{13.0: 0.11%, 14.0: 32.69%, 15.0: 19.01%, 16.0: 46.94%, 17.0: 1.24%}	{13.0: 0.08%, 14.0: 28.98%, 15.0: 19.37%, 16.0: 50.34%, 17.0: 1.23%}	0.99	1.00	1.00
lymphocyte_percent	1	227477590	227477605	1_227352586_227602586	A	{16.0: 0.03%, 17.0: 51.69%, 18.0: 41.19%, 19.0: 7.09%}	7.31e-11	-	intron:CDC42BPA:protein_coding	0.548, 0.197, 0.891, 0.666, 0.0183	NaN, NaN, NaN, NaN, -	{16.0: 4.88%, 17.0: 61.45%, 18.0: 28.65%, 19.0: 5.03%}	{16.0: 0.03%, 17.0: 37.47%, 18.0: 49.12%, 19.0: 13.38%}	{16.0: 0.05%, 17.0: 26.91%, 18.0: 37.82%, 19.0: 35.22%}	{16.0: 0.04%, 17.0: 50.50%, 18.0: 43.20%, 19.0: 6.26%}	{16.0: 0.03%, 17.0: 51.16%, 18.0: 41.41%, 19.0: 7.40%}	0.99	0.99	1.00
lymphocyte_percent	2	24208473	24208487	2_23759929_24765168	A	{15.0: 25.02%, 16.0: 54.75%, 17.0: 5.69%, 18.0: 12.09%, 21.0: 2.33%, 22.0: 0.13%}	1.13e-29	+	intron:UBXN2A:protein_coding	0.29, 0.0131, 0.229, 0.00877, 0.00113	NaN, +, NaN, +, +	{15.0: 43.43%, 16.0: 44.82%, 17.0: 2.79%, 18.0: 8.75%, 21.0: 0.21%}	{15.0: 17.24%, 16.0: 61.41%, 17.0: 9.21%, 18.0: 11.61%, 21.0: 0.34%, 22.0: 0.19%}	{15.0: 15.60%, 16.0: 77.08%, 17.0: 3.20%, 18.0: 4.12%, 21.0: 0.01%}	{15.0: 24.83%, 16.0: 53.18%, 17.0: 6.96%, 18.0: 13.06%, 21.0: 1.83%, 22.0: 0.14%}	{15.0: 23.30%, 16.0: 57.42%, 17.0: 5.31%, 18.0: 11.91%, 21.0: 1.95%, 22.0: 0.10%}	1.00	0.76	1.00
lymphocyte_percent	2	129076444	129076494	2_128905338_129201473	CCG	{9.0: 6.61%, 17.0: 92.98%, 22.0: 0.41%}	4.73e-14	-	intergenic	0.82, 0.15, 1.0, 0.0513, 0.0995	NaN, NaN, NaN, NaN, NaN	{9.0: 1.01%, 17.0: 98.97%, 22.0: 0.03%}	{9.0: 5.94%, 17.0: 93.79%, 22.0: 0.26%}	{9.0: 0.39%, 17.0: 99.58%, 22.0: 0.02%}	{9.0: 6.32%, 17.0: 93.35%, 22.0: 0.33%}	{9.0: 7.69%, 17.0: 91.88%, 22.0: 0.43%}	0.86	0.91	0.99
lymphocyte_percent	3	128203480	128203504	3_128069945_128852316	A	{24.0: 39.97%, 25.0: 59.94%, 26.0: 0.09%}	3.00e-38	-	intron:GATA2:protein_coding	0.048, 0.322, 0.551, 0.875, 0.00202	-, NaN, NaN, NaN, -	{24.0: 41.77%, 25.0: 56.51%, 26.0: 1.72%}	{24.0: 42.45%, 25.0: 57.49%, 26.0: 0.06%}	{24.0: 29.37%, 25.0: 70.56%, 26.0: 0.08%}	{24.0: 39.38%, 25.0: 60.47%, 26.0: 0.15%}	{24.0: 40.42%, 25.0: 59.51%, 26.0: 0.07%}	1.00	1.00	1.00
lymphocyte_percent	8	130690727	130690753	8_130357617_130821137	AAT	{6.0: 0.00%, 8.0: 16.67%, 9.0: 83.22%, 10.0: 0.10%}	1.62e-11	-	intron:CCDC26:lncRNA	0.661, 0.000554, 0.59, 0.259, 0.392	NaN, -, NaN, NaN, NaN	{6.0: 0.00%, 8.0: 23.91%, 9.0: 76.09%, 10.0: 0.01%}	{6.0: 0.01%, 8.0: 17.42%, 9.0: 82.53%, 10.0: 0.05%}	{6.0: 0.17%, 8.0: 19.43%, 9.0: 80.40%, 10.0: 0.00%}	{6.0: 0.00%, 8.0: 15.83%, 9.0: 84.05%, 10.0: 0.12%}	{6.0: 0.00%, 8.0: 14.95%, 9.0: 84.95%, 10.0: 0.09%}	0.99	0.86	0.02
mean_corpuscular_haemoglobin	1	153900068	153900118	1_153684853_154553683	AC	{11.5: 0.02%, 15.5: 0.13%, 16.5: 0.03%, 18.5: 7.28%, 19.5: 0.41%, 20.5: 1.59%, 21.5: 18.73%, 22.5: 16.20%, 23.5: 6.25%, 24.5: 19.46%, 25.5: 18.06%, 26.5: 3.94%, 27.5: 4.30%, 28.5: 2.42%, 29.5: 0.92%, 30.5: 0.23%, 31.5: 0.01%}	5.03e-13	+	intron:RP11-422P24.13:lncRNA	0.0991, 0.894, 0.805, 0.223, 0.0913	NaN, NaN, NaN, NaN, NaN	{11.5: 0.00%, 15.5: 0.07%, 16.5: 0.01%, 18.5: 3.10%, 19.5: 2.33%, 20.5: 18.57%, 21.5: 3.90%, 22.5: 16.88%, 23.5: 10.67%, 24.5: 19.47%, 25.5: 12.53%, 26.5: 1.60%, 27.5: 5.37%, 28.5: 1.87%, 29.5: 2.64%, 30.5: 0.03%, 31.5: 0.94%}	{11.5: 0.00%, 15.5: 0.38%, 16.5: 0.04%, 18.5: 1.98%, 19.5: 0.96%, 20.5: 6.65%, 21.5: 31.06%, 22.5: 9.93%, 23.5: 10.29%, 24.5: 11.86%, 25.5: 10.12%, 26.5: 8.19%, 27.5: 5.11%, 28.5: 2.83%, 29.5: 0.46%, 30.5: 0.04%, 31.5: 0.09%}	{15.5: 5.46%, 16.5: 0.55%, 18.5: 0.22%, 19.5: 0.11%, 20.5: 11.79%, 21.5: 21.07%, 22.5: 13.71%, 23.5: 10.88%, 24.5: 5.81%, 25.5: 10.79%, 26.5: 8.41%, 27.5: 6.70%, 28.5: 3.85%, 29.5: 0.54%, 30.5: 0.00%, 31.5: 0.11%}	{11.5: 0.03%, 15.5: 0.12%, 16.5: 0.01%, 18.5: 7.05%, 19.5: 0.42%, 20.5: 1.55%, 21.5: 18.32%, 22.5: 15.70%, 23.5: 6.43%, 24.5: 21.28%, 25.5: 16.65%, 26.5: 3.50%, 27.5: 4.27%, 28.5: 3.61%, 29.5: 0.91%, 30.5: 0.16%, 31.5: 0.00%}	{11.5: 0.03%, 15.5: 0.28%, 16.5: 0.06%, 18.5: 6.19%, 19.5: 0.61%, 20.5: 1.77%, 21.5: 19.77%, 22.5: 15.43%, 23.5: 7.38%, 24.5: 20.11%, 25.5: 16.20%, 26.5: 4.77%, 27.5: 4.33%, 28.5: 1.96%, 29.5: 0.79%, 30.5: 0.23%, 31.5: 0.09%}	0.00	1.00	1.00
mean_corpuscular_haemoglobin	15	66018015	66018044	15_64214953_67158151	A	{30.0: 57.16%, 31.0: 18.96%, 32.0: 6.91%, 33.0: 16.97%}	3.58e-147	-	intron:DENND4A:protein_coding	0.181, 9.4e-7, 0.0157, 9.33e-10, 1.18e-6	NaN, -, -, -, -	{30.0: 13.47%, 31.0: 61.51%, 32.0: 10.32%, 33.0: 14.69%}	{30.0: 45.04%, 31.0: 17.08%, 32.0: 8.76%, 33.0: 29.12%}	{30.0: 16.35%, 31.0: 2.96%, 32.0: 4.99%, 33.0: 75.70%}	{30.0: 56.93%, 31.0: 17.50%, 32.0: 7.20%, 33.0: 18.38%}	{30.0: 56.28%, 31.0: 19.46%, 32.0: 6.53%, 33.0: 17.73%}	1.00	1.00	0.00
mean_corpuscular_haemoglobin	16	287713	287728	16_0_1266951	A	{16.0: 79.70%, 17.0: 17.48%, 18.0: 2.82%}	9.64e-159	+	intron:FAM234A:protein_coding	0.457, 0.0000778, 0.0531, 5.0e-6, 0.00136	NaN, +, NaN, +, +	{16.0: 73.24%, 17.0: 26.51%, 18.0: 0.25%}	{16.0: 73.20%, 17.0: 26.59%, 18.0: 0.21%}	{16.0: 84.03%, 17.0: 15.75%, 18.0: 0.21%}	{16.0: 80.93%, 17.0: 16.68%, 18.0: 2.39%}	{16.0: 79.60%, 17.0: 18.21%, 18.0: 2.19%}	0.00	1.00	1.00
mean_corpuscular_haemoglobin	16	67229794	67229850	16_66414154_68965024	AGC	{12.0: 0.00%, 13.0: 0.39%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.24%, 18.0: 0.02%, 19.0: 96.61%, 20.0: 2.29%, 21.0: 0.00%, 22.0: 0.02%, 23.0: 0.10%, 24.0: 0.32%}	2.83e-23	+	CDS,three_prime_UTR:E2F4:protein_coding	0.915, 0.0792, 0.774, 0.00992, 0.0503	NaN, NaN, NaN, +, NaN	{12.0: 0.27%, 13.0: 0.07%, 15.0: 0.01%, 16.0: 1.96%, 17.0: 0.02%, 18.0: 0.00%, 19.0: 89.26%, 20.0: 2.96%, 21.0: 0.00%, 22.0: 4.61%, 23.0: 0.79%, 24.0: 0.05%}	{12.0: 0.01%, 13.0: 0.05%, 15.0: 0.00%, 16.0: 0.02%, 17.0: 0.00%, 18.0: 0.02%, 19.0: 98.33%, 20.0: 1.44%, 21.0: 0.05%, 22.0: 0.05%, 23.0: 0.00%, 24.0: 0.03%}	{12.0: 0.00%, 16.0: 0.00%, 17.0: 0.00%, 18.0: 0.01%, 19.0: 96.10%, 20.0: 2.11%, 21.0: 1.74%, 22.0: 0.03%, 23.0: 0.00%}	{12.0: 0.00%, 13.0: 0.25%, 15.0: 0.00%, 16.0: 0.00%, 17.0: 0.19%, 18.0: 0.02%, 19.0: 96.72%, 20.0: 2.33%, 21.0: 0.01%, 22.0: 0.00%, 23.0: 0.07%, 24.0: 0.43%}	{12.0: 0.01%, 13.0: 0.35%, 15.0: 0.00%, 16.0: 0.03%, 17.0: 0.17%, 18.0: 0.03%, 19.0: 96.15%, 20.0: 2.89%, 21.0: 0.01%, 22.0: 0.08%, 23.0: 0.08%, 24.0: 0.21%}	1.00	1.00	1.00
mean_corpuscular_haemoglobin	19	4426165	4426182	19_3850487_4674487	A	{16.0: 0.52%, 17.0: 69.99%, 18.0: 29.49%}	8.78e-112	-	intron:CHAF1A:protein_coding	0.47, 0.00774, 0.701, 0.0000117, 0.0000246	NaN, -, NaN, -, -	{16.0: 0.03%, 17.0: 89.40%, 18.0: 10.57%}	{16.0: 0.03%, 17.0: 76.48%, 18.0: 23.49%}	{16.0: 0.00%, 17.0: 89.49%, 18.0: 10.51%}	{16.0: 0.28%, 17.0: 69.77%, 18.0: 29.95%}	{16.0: 0.35%, 17.0: 71.49%, 18.0: 28.16%}	0.00	1.00	1.00
mean_corpuscular_haemoglobin	22	32897470	32897484	22_32732821_33074382	A	{10.0: 0.00%, 13.0: 21.66%, 14.0: 38.21%, 15.0: 39.96%, 16.0: 0.16%, 18.0: 0.02%}	6.56e-120	+	intergenic	0.0545, 0.007, 0.713, 3.32e-8, 0.0000112	NaN, +, NaN, +, +	{10.0: 0.01%, 13.0: 9.24%, 14.0: 42.73%, 15.0: 41.34%, 16.0: 0.92%, 18.0: 5.77%}	{10.0: 0.10%, 13.0: 13.07%, 14.0: 37.79%, 15.0: 48.73%, 16.0: 0.30%, 18.0: 0.02%}	{10.0: 0.01%, 13.0: 12.91%, 14.0: 54.48%, 15.0: 31.89%, 16.0: 0.71%, 18.0: 0.00%}	{10.0: 0.00%, 13.0: 22.42%, 14.0: 39.62%, 15.0: 37.80%, 16.0: 0.15%, 18.0: 0.02%}	{10.0: 0.00%, 13.0: 20.98%, 14.0: 37.75%, 15.0: 41.03%, 16.0: 0.19%, 18.0: 0.05%}	1.00	0.29	0.00
mean_corpuscular_volume	7	98658002	98658027	7_98327939_101109673	A	{24.0: 9.90%, 25.0: 46.05%, 26.0: 43.37%, 27.0: 0.66%, 28.0: 0.02%}	2.39e-14	-	intron:SMURF1:protein_coding	0.947, 0.0342, 0.9, 0.127, 0.0101	NaN, -, NaN, NaN, -	{24.0: 1.04%, 25.0: 10.91%, 26.0: 81.28%, 27.0: 2.10%, 28.0: 4.67%}	{24.0: 10.43%, 25.0: 38.32%, 26.0: 49.90%, 27.0: 1.34%, 28.0: 0.00%}	{24.0: 0.18%, 25.0: 35.52%, 26.0: 62.52%, 27.0: 1.78%, 28.0: 0.01%}	{24.0: 8.22%, 25.0: 49.48%, 26.0: 41.68%, 27.0: 0.61%, 28.0: 0.01%}	{24.0: 10.03%, 25.0: 44.60%, 26.0: 44.43%, 27.0: 0.88%, 28.0: 0.06%}	0.00	1.00	1.00
