phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
platelet_distribution_width	20	19902494	19902529	20_19743304_20107174	AAAC	{5.0: 6.33%, 6.0: 0.16%, 6.75: 6.97%, 7.0: 9.72%, 8.0: 25.87%, 9.0: 50.36%, 10.0: 0.57%, 11.0: 0.01%}	2.67e-15	+	confidently	0.991030417315582	0.993138	0.967999962012523	0.991173	0.994813	1.0	1.0	0.993138	0.979112558847442	0.951607	1.0	0.944, 0.183, 0.893, 0.613, 0.000368	NA, NA, NA, NA, +	{5.0: 1.31%, 6.0: 2.92%, 6.75: 2.06%, 7.0: 33.21%, 8.0: 20.76%, 9.0: 36.12%, 10.0: 3.21%, 11.0: 0.41%}	{5.0: 3.76%, 6.0: 0.12%, 6.75: 5.46%, 7.0: 24.57%, 8.0: 26.33%, 9.0: 39.01%, 10.0: 0.72%, 11.0: 0.02%}	{5.0: 5.81%, 6.0: 0.15%, 6.75: 9.08%, 7.0: 39.53%, 8.0: 36.18%, 9.0: 9.10%, 10.0: 0.15%, 11.0: 0.00%}	{5.0: 5.62%, 6.0: 0.17%, 6.75: 7.02%, 7.0: 8.21%, 8.0: 27.69%, 9.0: 50.71%, 10.0: 0.57%, 11.0: 0.01%}	{5.0: 6.70%, 6.0: 0.23%, 6.75: 6.00%, 7.0: 9.20%, 8.0: 26.97%, 9.0: 50.16%, 10.0: 0.69%, 11.0: 0.05%}
platelet_distribution_width	22	43385874	43385921	22_42129975_43768254	AT	{21.5: 0.27%, 22.0: 42.97%, 22.5: 3.57%, 23.0: 8.71%, 23.5: 0.09%, 24.0: 43.91%, 24.5: 0.05%, 25.0: 0.42%}	0.0	-	doubly	0.999999999999999	1.0	0.999999999981944	0.0	1.0	1.0	1.0	1.0	0.999999999999971	0.0	1.0	0.0000566, 4.32e-9, 0.815, 2.52e-11, 1.16e-14	-, -, NA, -, -	{21.5: 0.90%, 22.0: 16.88%, 22.5: 12.65%, 23.0: 39.69%, 23.5: 0.08%, 24.0: 11.39%, 24.5: 10.53%, 25.0: 7.87%}	{21.5: 0.04%, 22.0: 44.92%, 22.5: 1.64%, 23.0: 15.42%, 23.5: 1.25%, 24.0: 35.98%, 24.5: 0.03%, 25.0: 0.71%}	{22.0: 9.02%, 22.5: 0.10%, 23.0: 69.64%, 23.5: 0.44%, 24.0: 18.89%, 24.5: 0.04%, 25.0: 1.87%}	{21.5: 0.58%, 22.0: 43.10%, 22.5: 4.28%, 23.0: 7.95%, 23.5: 0.11%, 24.0: 43.57%, 24.5: 0.06%, 25.0: 0.36%}	{21.5: 0.13%, 22.0: 41.70%, 22.5: 3.11%, 23.0: 9.63%, 23.5: 0.20%, 24.0: 44.43%, 24.5: 0.13%, 25.0: 0.67%}
platelet_count	1	154139166	154139177	1_153457258_154450149	A	{12.0: 49.49%, 13.0: 38.33%, 14.0: 12.17%, 15.0: 0.01%}	4.97e-9	+	not	0.0	0.0										0.834, 0.458, 0.201, 0.0192, 0.0133	NA, NA, NA, +, +	{12.0: 24.27%, 13.0: 45.94%, 14.0: 22.47%, 15.0: 7.31%}	{12.0: 36.35%, 13.0: 50.60%, 14.0: 12.98%, 15.0: 0.07%}	{12.0: 14.95%, 13.0: 48.89%, 14.0: 36.09%, 15.0: 0.07%}	{12.0: 48.93%, 13.0: 37.79%, 14.0: 13.27%, 15.0: 0.01%}	{12.0: 47.68%, 13.0: 41.72%, 14.0: 10.58%, 15.0: 0.03%}
platelet_count	1	171979823	171979863	1_171249844_172619282	AC	{15.5: 0.05%, 16.5: 0.00%, 17.5: 13.73%, 18.5: 12.74%, 19.5: 41.60%, 20.5: 18.84%, 21.5: 12.92%, 22.5: 0.07%, 23.5: 0.04%}	1.32e-19	-	not	0.0	0.0										0.0118, 0.0835, 0.618, 0.0143, 0.0366	-, NA, NA, -, -	{15.5: 7.17%, 16.5: 1.66%, 17.5: 38.38%, 18.5: 22.66%, 19.5: 24.03%, 20.5: 4.92%, 21.5: 1.17%, 22.5: 0.00%, 23.5: 0.00%}	{15.5: 0.07%, 16.5: 0.01%, 17.5: 9.66%, 18.5: 10.40%, 19.5: 58.50%, 20.5: 17.01%, 21.5: 4.30%, 22.5: 0.02%, 23.5: 0.03%}	{15.5: 0.04%, 16.5: 0.00%, 17.5: 37.46%, 18.5: 5.42%, 19.5: 54.73%, 20.5: 2.18%, 21.5: 0.17%}	{15.5: 0.06%, 16.5: 0.00%, 17.5: 13.08%, 18.5: 12.64%, 19.5: 43.79%, 20.5: 18.28%, 21.5: 12.06%, 22.5: 0.05%, 23.5: 0.04%}	{15.5: 0.10%, 16.5: 0.01%, 17.5: 12.68%, 18.5: 12.73%, 19.5: 43.02%, 20.5: 18.69%, 21.5: 12.64%, 22.5: 0.06%, 23.5: 0.07%}
platelet_count	1	204527033	204527059	1_204137031_205551691	AAT	{7.0: 3.17%, 8.0: 49.77%, 9.0: 34.17%, 10.0: 12.81%, 11.0: 0.08%}	5.18e-10	-	confidently	0.958208784077543	1.0	0.928575797973046	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0327, 0.228, 0.252, 0.432, 0.0367	-, NA, NA, NA, -	{7.0: 7.25%, 8.0: 55.70%, 9.0: 35.97%, 10.0: 1.07%, 11.0: 0.01%}	{7.0: 5.10%, 8.0: 46.85%, 9.0: 43.34%, 10.0: 4.71%, 11.0: 0.01%}	{7.0: 0.52%, 8.0: 57.12%, 9.0: 41.86%, 10.0: 0.50%, 11.0: 0.00%}	{7.0: 2.69%, 8.0: 48.95%, 9.0: 35.91%, 10.0: 12.39%, 11.0: 0.05%}	{7.0: 3.46%, 8.0: 49.61%, 9.0: 34.88%, 10.0: 11.98%, 11.0: 0.07%}
platelet_count	1	205255038	205255052	1_204137031_205551691	A	{15.0: 12.46%, 16.0: 50.25%, 17.0: 33.62%, 18.0: 3.66%, 19.0: 0.00%}	2.14e-100	+	singly	0.999999993556716	0.0	0.999999998201765	0.0	0.0	0.0	0.0	0.0	0.999999981292553	0.0	0.803822	0.862, 0.648, 0.783, 0.00799, 5.03e-9	NA, NA, NA, +, +	{15.0: 25.59%, 16.0: 62.16%, 17.0: 7.46%, 18.0: 0.26%, 19.0: 4.54%}	{15.0: 13.18%, 16.0: 75.55%, 17.0: 10.57%, 18.0: 0.68%, 19.0: 0.01%}	{15.0: 3.28%, 16.0: 92.42%, 17.0: 4.05%, 18.0: 0.20%, 19.0: 0.04%}	{15.0: 11.40%, 16.0: 53.74%, 17.0: 30.95%, 18.0: 3.91%, 19.0: 0.00%}	{15.0: 13.67%, 16.0: 51.73%, 17.0: 31.53%, 18.0: 3.05%, 19.0: 0.02%}
platelet_count	1	225914361	225914377	1_225777044_226047159	A	{15.0: 0.19%, 16.0: 10.78%, 17.0: 60.12%, 18.0: 28.91%, 19.0: 0.00%}	1.36e-9	+	singly	0.0	0.843667										0.183, 0.0188, 0.886, 0.818, 0.185	NA, +, NA, NA, NA	{15.0: 0.02%, 16.0: 0.95%, 17.0: 34.86%, 18.0: 63.90%, 19.0: 0.26%}	{15.0: 0.05%, 16.0: 13.64%, 17.0: 57.38%, 18.0: 28.93%, 19.0: 0.00%}	{15.0: 0.00%, 16.0: 14.70%, 17.0: 43.69%, 18.0: 41.61%, 19.0: 0.00%}	{15.0: 0.12%, 16.0: 10.40%, 17.0: 58.19%, 18.0: 31.28%, 19.0: 0.00%}	{15.0: 0.15%, 16.0: 11.13%, 17.0: 58.67%, 18.0: 30.04%, 19.0: 0.01%}
platelet_count	1	231037166	231037176	1_230912165_231162166	A	{9.0: 0.10%, 10.0: 60.39%, 11.0: 39.44%, 12.0: 0.06%}	2.12e-9	+	not	0.0	0.280063										0.328, 0.295, 0.035, 0.189, 0.578	NA, NA, +, NA, NA	{9.0: 0.02%, 10.0: 50.46%, 11.0: 49.51%, 12.0: 0.01%}	{9.0: 0.10%, 10.0: 56.44%, 11.0: 43.46%, 12.0: 0.01%}	{9.0: 0.01%, 10.0: 55.92%, 11.0: 44.04%, 12.0: 0.03%}	{9.0: 0.06%, 10.0: 59.52%, 11.0: 40.30%, 12.0: 0.12%}	{9.0: 0.17%, 10.0: 57.48%, 11.0: 42.31%, 12.0: 0.04%}
platelet_count	2	111874390	111874405	2_111743604_112400538	A	{15.0: 6.26%, 16.0: 80.17%, 17.0: 13.57%}	2.54e-13	-	confidently	0.999843452960039	1.0	0.999003697195295	1.0	1.0	1.0	1.0	1.0	0.997829483471132	1.0	1.0	0.286, 0.973, 0.0121, 0.187, 0.0978	NA, NA, -, NA, NA	{15.0: 16.13%, 16.0: 57.92%, 17.0: 25.94%}	{15.0: 5.84%, 16.0: 86.09%, 17.0: 8.07%}	{15.0: 11.76%, 16.0: 61.42%, 17.0: 26.82%}	{15.0: 5.50%, 16.0: 79.74%, 17.0: 14.77%}	{15.0: 6.26%, 16.0: 82.90%, 17.0: 10.84%}
platelet_count	3	38869899	38869940	3_38744894_38994894	AC	{14.0: 0.10%, 15.0: 0.07%, 16.0: 15.90%, 17.0: 18.56%, 18.0: 2.38%, 19.0: 11.29%, 20.0: 5.16%, 21.0: 3.84%, 22.0: 4.96%, 23.0: 31.32%, 24.0: 1.62%, 25.0: 4.04%, 27.0: 0.76%, 29.0: 0.01%}	8.66e-9	-	singly	0.0	0.838463										0.842, 0.0174, 0.351, 0.933, 0.411	NA, -, NA, NA, NA	{14.0: 0.01%, 15.0: 0.03%, 16.0: 33.45%, 17.0: 22.85%, 18.0: 4.96%, 19.0: 4.04%, 20.0: 1.94%, 21.0: 1.40%, 22.0: 13.63%, 23.0: 16.65%, 24.0: 0.19%, 25.0: 0.73%, 27.0: 0.12%, 29.0: 0.00%}	{14.0: 0.23%, 15.0: 1.66%, 16.0: 11.60%, 17.0: 13.65%, 18.0: 6.69%, 19.0: 12.74%, 20.0: 4.78%, 21.0: 2.07%, 22.0: 4.12%, 23.0: 39.48%, 24.0: 1.26%, 25.0: 1.56%, 27.0: 0.16%, 29.0: 0.01%}	{14.0: 0.00%, 15.0: 0.15%, 16.0: 16.15%, 17.0: 18.28%, 18.0: 1.39%, 19.0: 18.08%, 20.0: 5.14%, 21.0: 0.33%, 22.0: 8.90%, 23.0: 29.50%, 24.0: 1.43%, 25.0: 0.64%, 27.0: 0.00%}	{14.0: 0.07%, 15.0: 0.05%, 16.0: 14.07%, 17.0: 20.58%, 18.0: 2.70%, 19.0: 10.09%, 20.0: 4.85%, 21.0: 4.00%, 22.0: 5.37%, 23.0: 31.06%, 24.0: 1.70%, 25.0: 4.58%, 27.0: 0.86%, 29.0: 0.01%}	{14.0: 0.11%, 15.0: 0.19%, 16.0: 14.40%, 17.0: 18.89%, 18.0: 3.52%, 19.0: 11.81%, 20.0: 5.77%, 21.0: 3.90%, 22.0: 4.95%, 23.0: 30.49%, 24.0: 1.60%, 25.0: 3.77%, 27.0: 0.61%, 29.0: 0.01%}
platelet_count	3	58358811	58358825	3_55663812_58674666	A	{15.0: 67.36%, 16.0: 8.77%, 17.0: 23.87%}	2.91e-40	-	singly	0.0798442133764018	1.0	0.0841329415796097	1.0	1.0	1.0	1.0	1.0	0.0	0.619125	1.0	0.284, 0.882, 0.508, 0.682, 0.0235	NA, NA, NA, NA, -	{15.0: 87.66%, 16.0: 6.03%, 17.0: 6.31%}	{15.0: 52.42%, 16.0: 10.33%, 17.0: 37.24%}	{15.0: 16.80%, 16.0: 1.23%, 17.0: 81.97%}	{15.0: 68.04%, 16.0: 8.54%, 17.0: 23.42%}	{15.0: 65.84%, 16.0: 9.38%, 17.0: 24.79%}
platelet_count	5	75714420	75714435	5_75314938_77252809	A	{12.0: 0.01%, 13.0: 49.12%, 14.0: 0.07%, 15.0: 14.56%, 16.0: 34.01%, 17.0: 2.22%}	2.74e-14	+	singly	0.0	0.991477	0.0	0.982367	0.982925	0.991492	1.0	1.0	0.0	0.0	1.0	0.243, 0.0477, 0.334, 0.17, 0.375	NA, +, NA, NA, NA	{12.0: 0.04%, 13.0: 14.35%, 14.0: 17.20%, 15.0: 60.31%, 16.0: 7.74%, 17.0: 0.37%}	{12.0: 0.36%, 13.0: 39.23%, 14.0: 0.38%, 15.0: 32.80%, 16.0: 24.09%, 17.0: 3.14%}	{12.0: 0.27%, 13.0: 48.30%, 14.0: 1.16%, 15.0: 46.87%, 16.0: 2.24%, 17.0: 1.16%}	{12.0: 0.01%, 13.0: 51.39%, 14.0: 0.06%, 15.0: 13.20%, 16.0: 33.31%, 17.0: 2.02%}	{12.0: 0.03%, 13.0: 48.49%, 14.0: 0.25%, 15.0: 15.14%, 16.0: 34.04%, 17.0: 2.05%}
platelet_count	6	7058115	7058136	6_6933113_7341484	A	{20.0: 0.74%, 21.0: 67.14%, 22.0: 17.19%, 23.0: 14.65%, 24.0: 0.26%, 26.0: 0.03%}	6.93e-10	-	singly	0.0	0.858019										0.146, 0.116, 0.313, 0.186, 0.00951	NA, NA, NA, NA, -	{20.0: 0.09%, 21.0: 15.27%, 22.0: 32.20%, 23.0: 44.30%, 24.0: 0.79%, 26.0: 7.36%}	{20.0: 0.51%, 21.0: 38.58%, 22.0: 25.87%, 23.0: 34.92%, 24.0: 0.07%, 26.0: 0.06%}	{20.0: 0.04%, 21.0: 6.20%, 22.0: 10.58%, 23.0: 82.85%, 24.0: 0.30%, 26.0: 0.04%}	{20.0: 0.68%, 21.0: 65.19%, 22.0: 18.05%, 23.0: 15.75%, 24.0: 0.30%, 26.0: 0.03%}	{20.0: 0.76%, 21.0: 66.01%, 22.0: 16.21%, 23.0: 16.73%, 24.0: 0.19%, 26.0: 0.10%}
platelet_count	6	33591099	33591121	6_33375088_35794547	A	{13.0: 0.32%, 22.0: 0.00%, 23.0: 0.74%, 24.0: 65.41%, 25.0: 0.38%, 26.0: 32.99%, 27.0: 0.15%}	1.82e-22	-	not	0.0	0.0										0.00232, 0.99, 0.392, 0.0213, 0.254	-, NA, NA, -, NA	{13.0: 0.12%, 22.0: 1.25%, 23.0: 12.42%, 24.0: 37.55%, 25.0: 4.70%, 26.0: 43.62%, 27.0: 0.34%}	{13.0: 0.41%, 22.0: 0.01%, 23.0: 1.05%, 24.0: 52.94%, 25.0: 1.48%, 26.0: 41.39%, 27.0: 2.72%}	{13.0: 0.08%, 22.0: 0.00%, 23.0: 0.27%, 24.0: 44.84%, 25.0: 7.05%, 26.0: 44.09%, 27.0: 3.65%}	{13.0: 0.29%, 22.0: 0.00%, 23.0: 0.50%, 24.0: 65.49%, 25.0: 0.30%, 26.0: 33.27%, 27.0: 0.13%}	{13.0: 0.78%, 22.0: 0.01%, 23.0: 1.35%, 24.0: 65.93%, 25.0: 0.76%, 26.0: 30.97%, 27.0: 0.20%}
platelet_count	7	37468623	37468658	7_37247614_37597798	AAC	{6.0: 0.01%, 8.0: 10.22%, 9.0: 18.27%, 10.0: 0.29%, 11.0: 50.08%, 11.33: 0.01%, 12.0: 20.20%, 13.0: 0.74%, 14.0: 0.18%}	9.05e-12	-	doubly	0.965655372477184	1.0	0.989159905005131	0.00676969	1.0	1.0	0.72689	1.0	0.0	1.0	1.0	0.333, 0.144, 0.0574, 0.0142, 0.00276	NA, NA, NA, -, -	{6.0: 0.55%, 8.0: 3.62%, 9.0: 20.10%, 10.0: 10.82%, 11.0: 44.14%, 11.33: 0.00%, 12.0: 14.11%, 13.0: 4.64%, 14.0: 2.01%}	{6.0: 0.03%, 8.0: 7.26%, 9.0: 18.07%, 10.0: 5.31%, 11.0: 63.42%, 11.33: 0.02%, 12.0: 5.18%, 13.0: 0.66%, 14.0: 0.04%}	{6.0: 0.03%, 8.0: 2.76%, 9.0: 32.76%, 10.0: 5.66%, 11.0: 55.80%, 11.33: 0.00%, 12.0: 0.84%, 13.0: 2.16%, 14.0: 0.00%}	{6.0: 0.01%, 8.0: 10.56%, 9.0: 16.81%, 10.0: 0.25%, 11.0: 51.13%, 11.33: 0.01%, 12.0: 20.45%, 13.0: 0.68%, 14.0: 0.10%}	{6.0: 0.03%, 8.0: 12.42%, 9.0: 17.21%, 10.0: 0.46%, 11.0: 50.68%, 11.33: 0.01%, 12.0: 18.03%, 13.0: 0.99%, 14.0: 0.16%}
platelet_count	9	73076326	73076350	9_72854121_73259144	AAAT	{5.25: 15.59%, 6.25: 41.84%, 7.25: 42.58%}	2.47e-17	-	singly	0.0	0.93997	0.0	0.889587	0.8947	0.968078	0.911955	0.938995	0.0	0.758968	0.844397	0.792, 0.0739, 0.735, 0.33, 0.11	NA, NA, NA, NA, NA	{5.25: 24.38%, 6.25: 69.29%, 7.25: 6.32%}	{5.25: 13.38%, 6.25: 47.75%, 7.25: 38.87%}	{5.25: 39.19%, 6.25: 44.72%, 7.25: 16.09%}	{5.25: 14.55%, 6.25: 40.74%, 7.25: 44.72%}	{5.25: 15.64%, 6.25: 44.19%, 7.25: 40.17%}
platelet_count	11	8845751	8845763	11_8597440_9209101	A	{12.0: 49.55%, 13.0: 46.85%, 14.0: 3.61%}	2.02e-32	+	confidently	0.988371964571895	0.995311	0.985351333715069	0.998013	0.991779	1.0	1.0	0.995311	0.946388999848901	0.968379	1.0	0.88, 0.245, 0.926, 0.636, 0.0203	NA, NA, NA, NA, +	{12.0: 25.59%, 13.0: 74.08%, 14.0: 0.33%}	{12.0: 43.27%, 13.0: 54.37%, 14.0: 2.35%}	{12.0: 57.08%, 13.0: 42.92%, 14.0: 0.00%}	{12.0: 48.62%, 13.0: 47.51%, 14.0: 3.88%}	{12.0: 46.45%, 13.0: 50.62%, 14.0: 2.93%}
platelet_count	11	10717766	10717783	11_10514018_10873518	AC	{7.0: 1.51%, 8.0: 24.52%, 9.0: 55.94%, 10.0: 18.03%, 11.0: 0.00%}	3.51e-17	+	singly	0.0	0.992755	0.0	0.985828	1.0	1.0	1.0	0.992965	0.0	0.89836	1.0	0.0635, 0.261, 0.912, 0.0191, 0.532	NA, NA, NA, +, NA	{7.0: 0.11%, 8.0: 10.20%, 9.0: 78.78%, 10.0: 10.91%, 11.0: 0.00%}	{7.0: 0.44%, 8.0: 11.37%, 9.0: 53.35%, 10.0: 34.84%, 11.0: 0.00%}	{7.0: 0.03%, 8.0: 3.48%, 9.0: 18.03%, 10.0: 78.43%, 11.0: 0.03%}	{7.0: 0.88%, 8.0: 23.72%, 9.0: 58.89%, 10.0: 16.51%, 11.0: 0.00%}	{7.0: 1.06%, 8.0: 24.06%, 9.0: 56.00%, 10.0: 18.88%, 11.0: 0.00%}
platelet_count	11	57389188	57389215	11_56879344_58554194	A	{27.0: 0.15%, 28.0: 71.93%, 29.0: 0.96%, 30.0: 26.93%, 31.0: 0.04%}	2.63e-18	+	singly	0.140789725178047	1.0	0.135897744278038	1.0	1.0	1.0	1.0	1.0	0.0409683372940872	0.923285	1.0	0.511, 0.0901, 0.99, 0.00146, 0.000297	NA, NA, NA, +, +	{27.0: 0.93%, 28.0: 69.01%, 29.0: 21.70%, 30.0: 8.36%, 31.0: 0.00%}	{27.0: 0.02%, 28.0: 80.44%, 29.0: 1.44%, 30.0: 18.06%, 31.0: 0.05%}	{27.0: 0.02%, 28.0: 88.29%, 29.0: 0.22%, 30.0: 11.47%, 31.0: 0.00%}	{27.0: 0.17%, 28.0: 68.68%, 29.0: 1.13%, 30.0: 29.99%, 31.0: 0.03%}	{27.0: 0.15%, 28.0: 72.20%, 29.0: 1.07%, 30.0: 26.54%, 31.0: 0.04%}
platelet_count	11	77524867	77524903	11_77115152_77830021	AC	{10.5: 0.01%, 14.5: 10.19%, 15.5: 0.45%, 16.5: 0.00%, 17.5: 1.23%, 18.5: 19.06%, 19.5: 26.80%, 20.5: 9.16%, 21.5: 23.56%, 22.5: 7.04%, 23.5: 2.40%, 24.5: 0.10%}	5.74e-13	-	singly	0.0	0.814872	0.0	0.688075	0.783036	0.799292	0.758399	0.825381	0.0	0.505003	0.867706	0.38, 0.114, 0.00909, 0.501, 0.178	NA, NA, -, NA, NA	{10.5: 0.00%, 14.5: 28.30%, 15.5: 1.02%, 16.5: 1.17%, 17.5: 1.35%, 18.5: 14.14%, 19.5: 19.50%, 20.5: 18.75%, 21.5: 11.29%, 22.5: 3.15%, 23.5: 1.32%, 24.5: 0.01%}	{10.5: 0.08%, 14.5: 12.58%, 15.5: 0.48%, 17.5: 1.58%, 18.5: 17.18%, 19.5: 38.92%, 20.5: 10.28%, 21.5: 16.25%, 22.5: 1.94%, 23.5: 0.65%, 24.5: 0.05%}	{10.5: 0.01%, 14.5: 13.96%, 15.5: 2.37%, 16.5: 0.01%, 17.5: 1.11%, 18.5: 6.94%, 19.5: 30.35%, 20.5: 22.77%, 21.5: 21.65%, 22.5: 0.73%, 23.5: 0.10%, 24.5: 0.00%}	{10.5: 0.01%, 14.5: 9.57%, 15.5: 0.36%, 17.5: 1.06%, 18.5: 20.27%, 19.5: 28.03%, 20.5: 10.07%, 21.5: 21.39%, 22.5: 7.51%, 23.5: 1.60%, 24.5: 0.14%}	{10.5: 0.08%, 14.5: 9.44%, 15.5: 0.72%, 16.5: 0.00%, 17.5: 1.41%, 18.5: 19.05%, 19.5: 29.12%, 20.5: 9.11%, 21.5: 23.33%, 22.5: 5.81%, 23.5: 1.84%, 24.5: 0.08%}
platelet_count	11	119077000	119077033	11_118447267_119339135	CCG	{5.33: 0.18%, 7.33: 0.33%, 8.33: 0.09%, 10.33: 0.04%, 11.33: 71.53%, 12.33: 9.10%, 13.33: 6.76%, 14.33: 6.98%, 15.33: 0.25%, 16.33: 0.11%, 17.33: 3.04%, 18.33: 0.31%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.02%, 22.33: 0.04%, 23.33: 0.21%, 24.33: 0.24%, 25.33: 0.36%, 26.33: 0.01%, 30.33: 0.35%}	3.77e-83	+	confidently	1.0	1.0	0.999999999999962	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.799, 0.0786, 0.00538, 5.68e-8, 0.0000125	NA, NA, +, +, +	{5.33: 0.02%, 7.33: 0.02%, 8.33: 15.23%, 10.33: 5.22%, 11.33: 62.19%, 12.33: 11.20%, 13.33: 4.55%, 14.33: 0.97%, 15.33: 0.07%, 16.33: 0.01%, 17.33: 0.22%, 18.33: 0.07%, 19.33: 0.01%, 21.33: 0.07%, 22.33: 0.00%, 23.33: 0.03%, 24.33: 0.06%, 25.33: 0.03%, 26.33: 0.01%, 30.33: 0.02%}	{5.33: 0.06%, 7.33: 0.06%, 8.33: 0.04%, 10.33: 0.05%, 11.33: 60.05%, 12.33: 6.61%, 13.33: 2.11%, 14.33: 23.50%, 15.33: 1.34%, 16.33: 0.03%, 17.33: 1.31%, 18.33: 0.99%, 19.33: 0.08%, 20.33: 0.00%, 21.33: 1.95%, 22.33: 0.04%, 23.33: 0.03%, 24.33: 1.54%, 25.33: 0.16%, 26.33: 0.01%, 30.33: 0.05%}	{5.33: 0.02%, 7.33: 0.00%, 8.33: 0.07%, 10.33: 0.06%, 11.33: 74.57%, 12.33: 2.56%, 13.33: 2.12%, 14.33: 6.32%, 15.33: 11.33%, 16.33: 0.00%, 17.33: 0.20%, 18.33: 1.83%, 19.33: 0.01%, 21.33: 0.08%, 22.33: 0.02%, 23.33: 0.00%, 24.33: 0.74%, 25.33: 0.02%, 26.33: 0.01%, 30.33: 0.03%}	{5.33: 0.11%, 7.33: 1.00%, 8.33: 0.06%, 10.33: 0.04%, 11.33: 69.00%, 12.33: 8.76%, 13.33: 7.66%, 14.33: 7.20%, 15.33: 0.23%, 16.33: 0.11%, 17.33: 3.95%, 18.33: 0.28%, 19.33: 0.05%, 20.33: 0.00%, 21.33: 0.01%, 22.33: 0.04%, 23.33: 0.25%, 24.33: 0.29%, 25.33: 0.42%, 26.33: 0.00%, 30.33: 0.54%}	{5.33: 0.19%, 7.33: 0.25%, 8.33: 0.29%, 10.33: 0.07%, 11.33: 72.34%, 12.33: 9.77%, 13.33: 5.72%, 14.33: 6.34%, 15.33: 0.43%, 16.33: 0.11%, 17.33: 2.66%, 18.33: 0.43%, 19.33: 0.05%, 20.33: 0.01%, 21.33: 0.05%, 22.33: 0.12%, 23.33: 0.18%, 24.33: 0.29%, 25.33: 0.33%, 26.33: 0.02%, 30.33: 0.35%}
platelet_count	11	128017628	128017642	11_127783137_128792428	A	{14.0: 4.27%, 15.0: 46.96%, 16.0: 17.37%, 17.0: 31.36%, 18.0: 0.03%}	9.52e-11	-	singly	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.569, 0.345, 0.00577, 0.0178, 0.17	NA, NA, -, -, NA	{14.0: 7.41%, 15.0: 59.49%, 16.0: 21.87%, 17.0: 11.22%, 18.0: 0.01%}	{14.0: 5.70%, 15.0: 45.67%, 16.0: 31.69%, 17.0: 16.85%, 18.0: 0.09%}	{14.0: 0.22%, 15.0: 33.25%, 16.0: 51.77%, 17.0: 14.73%, 18.0: 0.03%}	{14.0: 5.54%, 15.0: 46.40%, 16.0: 17.72%, 17.0: 30.31%, 18.0: 0.03%}	{14.0: 3.98%, 15.0: 49.05%, 16.0: 18.60%, 17.0: 28.33%, 18.0: 0.04%}
