phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	relation_to_gene	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
gamma_glutamyltransferase	1	27247247	27247280	1_26867928_27472994	A	{33.0: 0.00%, 34.0: 84.26%, 35.0: 7.75%, 36.0: 5.54%, 37.0: 2.45%}	1.52e-16	-	intron:NUDC:protein_coding	confidently	0.953704620921002	0.991997	0.951746339029815	1.0	0.990599	1.0	1.0	0.992	0.0	0.969835	1.0	0.111, 0.809, 0.835, 0.618, 0.0918	NA, NA, NA, NA, NA	{33.0: 0.04%, 34.0: 77.45%, 35.0: 16.30%, 36.0: 5.84%, 37.0: 0.37%}	{33.0: 0.12%, 34.0: 88.47%, 35.0: 7.33%, 36.0: 3.45%, 37.0: 0.62%}	{33.0: 0.81%, 34.0: 93.80%, 35.0: 4.88%, 36.0: 0.44%, 37.0: 0.08%}	{33.0: 0.00%, 34.0: 83.50%, 35.0: 8.20%, 36.0: 5.89%, 37.0: 2.41%}	{33.0: 0.01%, 34.0: 84.55%, 35.0: 8.11%, 36.0: 5.07%, 37.0: 2.26%}
gamma_glutamyltransferase	2	27673819	27673833	2_26880609_28795980	A	{14.0: 5.13%, 15.0: 56.88%, 16.0: 37.53%, 17.0: 0.07%, 19.0: 0.38%}	9.0e-18	-	intron:IFT172:protein_coding	not	0.0	0.0										0.57, 0.208, 0.418, 0.404, 0.289	NA, NA, NA, NA, NA	{14.0: 14.80%, 15.0: 16.06%, 16.0: 45.95%, 17.0: 23.15%, 19.0: 0.04%}	{14.0: 5.62%, 15.0: 55.24%, 16.0: 39.04%, 17.0: 0.11%}	{14.0: 0.07%, 15.0: 83.37%, 16.0: 16.55%, 17.0: 0.00%}	{14.0: 5.96%, 15.0: 57.99%, 16.0: 35.79%, 17.0: 0.04%, 19.0: 0.22%}	{14.0: 5.18%, 15.0: 59.32%, 16.0: 34.89%, 17.0: 0.24%, 19.0: 0.35%}
gamma_glutamyltransferase	2	111878544	111878598	2_111736838_112148641	CCG	{8.33: 0.20%, 11.33: 0.05%, 12.33: 0.01%, 13.33: 0.24%, 14.33: 3.07%, 15.33: 0.27%, 16.33: 0.10%, 17.33: 72.99%, 18.33: 6.59%, 19.33: 5.49%, 20.33: 0.92%, 21.33: 1.21%, 22.33: 0.06%, 23.33: 0.18%, 24.33: 1.05%, 25.33: 0.27%, 26.33: 0.32%, 27.33: 0.47%, 28.33: 0.83%, 29.33: 1.07%, 30.33: 1.93%, 31.33: 0.67%, 32.33: 0.97%, 33.33: 0.27%, 34.33: 0.19%, 35.33: 0.16%, 36.33: 0.41%}	4.4e-12	-	multigene;five_prime_UTR:BCL2L11:protein_coding;intron:MIR4435-2HG:lncRNA	not	0.61019499400663	0.696821										0.0696, 0.498, 0.512, 0.403, 0.00773	NA, NA, NA, NA, -	{8.33: 0.06%, 11.33: 0.01%, 12.33: 0.01%, 13.33: 0.02%, 14.33: 1.88%, 15.33: 6.67%, 16.33: 0.05%, 17.33: 62.09%, 18.33: 12.73%, 19.33: 0.71%, 20.33: 1.69%, 21.33: 2.97%, 22.33: 0.01%, 23.33: 3.84%, 24.33: 2.81%, 25.33: 0.56%, 26.33: 0.02%, 27.33: 0.05%, 28.33: 0.11%, 29.33: 0.12%, 30.33: 1.59%, 31.33: 0.06%, 32.33: 0.09%, 33.33: 0.05%, 34.33: 0.02%, 35.33: 0.04%, 36.33: 1.74%}	{8.33: 0.47%, 11.33: 0.01%, 12.33: 0.03%, 13.33: 0.07%, 14.33: 3.62%, 15.33: 0.60%, 16.33: 0.29%, 17.33: 72.67%, 18.33: 11.86%, 19.33: 4.50%, 20.33: 2.18%, 21.33: 1.35%, 22.33: 0.05%, 23.33: 0.18%, 24.33: 0.18%, 25.33: 0.05%, 26.33: 0.05%, 27.33: 0.06%, 28.33: 0.16%, 29.33: 0.27%, 30.33: 0.54%, 31.33: 0.26%, 32.33: 0.25%, 33.33: 0.07%, 34.33: 0.05%, 35.33: 0.01%, 36.33: 0.19%}	{8.33: 0.02%, 11.33: 0.00%, 12.33: 0.27%, 13.33: 0.03%, 14.33: 11.64%, 15.33: 0.13%, 16.33: 0.44%, 17.33: 80.08%, 18.33: 4.47%, 19.33: 1.29%, 20.33: 0.64%, 21.33: 0.44%, 22.33: 0.03%, 23.33: 0.10%, 24.33: 0.03%, 25.33: 0.01%, 26.33: 0.01%, 27.33: 0.01%, 28.33: 0.02%, 29.33: 0.06%, 30.33: 0.08%, 31.33: 0.03%, 32.33: 0.03%, 33.33: 0.01%, 34.33: 0.02%, 35.33: 0.00%, 36.33: 0.12%}	{8.33: 0.19%, 11.33: 0.07%, 12.33: 0.00%, 13.33: 0.19%, 14.33: 2.48%, 15.33: 0.46%, 16.33: 0.12%, 17.33: 72.63%, 18.33: 5.59%, 19.33: 6.43%, 20.33: 0.93%, 21.33: 1.42%, 22.33: 0.08%, 23.33: 0.27%, 24.33: 1.18%, 25.33: 0.34%, 26.33: 0.30%, 27.33: 0.52%, 28.33: 0.67%, 29.33: 1.13%, 30.33: 2.13%, 31.33: 0.75%, 32.33: 1.21%, 33.33: 0.29%, 34.33: 0.18%, 35.33: 0.13%, 36.33: 0.32%}	{8.33: 0.17%, 11.33: 0.04%, 12.33: 0.01%, 13.33: 0.23%, 14.33: 2.86%, 15.33: 0.25%, 16.33: 0.13%, 17.33: 71.63%, 18.33: 7.27%, 19.33: 5.33%, 20.33: 1.07%, 21.33: 1.06%, 22.33: 0.08%, 23.33: 0.18%, 24.33: 1.21%, 25.33: 0.40%, 26.33: 0.40%, 27.33: 0.45%, 28.33: 0.73%, 29.33: 1.16%, 30.33: 2.34%, 31.33: 0.80%, 32.33: 0.96%, 33.33: 0.36%, 34.33: 0.22%, 35.33: 0.10%, 36.33: 0.56%}
gamma_glutamyltransferase	3	135916825	135916841	3_135494585_137241656	A	{15.0: 0.11%, 16.0: 33.80%, 17.0: 42.19%, 18.0: 9.25%, 19.0: 14.60%, 20.0: 0.04%, 23.0: 0.00%}	4.84e-21	-	intergenic	not	0.0	0.0										0.115, 0.00497, 0.374, 0.0000382, 0.835	NA, -, NA, -, NA	{15.0: 2.53%, 16.0: 41.29%, 17.0: 26.54%, 18.0: 17.26%, 19.0: 8.63%, 20.0: 0.62%, 23.0: 3.13%}	{15.0: 0.02%, 16.0: 34.41%, 17.0: 41.51%, 18.0: 9.98%, 19.0: 14.04%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.06%, 16.0: 0.83%, 17.0: 77.00%, 18.0: 21.13%, 19.0: 0.98%, 20.0: 0.00%, 23.0: 0.00%}	{15.0: 0.09%, 16.0: 34.71%, 17.0: 40.72%, 18.0: 10.64%, 19.0: 13.81%, 20.0: 0.03%, 23.0: 0.00%}	{15.0: 0.19%, 16.0: 32.42%, 17.0: 43.46%, 18.0: 8.94%, 19.0: 14.89%, 20.0: 0.08%, 23.0: 0.02%}
gamma_glutamyltransferase	3	170727702	170727740	3_170387845_170974774	AC	{16.5: 0.15%, 17.5: 9.81%, 18.5: 3.44%, 19.5: 55.54%, 20.5: 15.66%, 21.5: 11.93%, 22.5: 2.79%, 23.5: 0.68%}	2.07e-34	-	multigene;intron:SLC2A2:protein_coding;intron:RP11-114D6.2:lncRNA	not	0.0	0.0										0.262, 0.0109, 0.858, 0.211, 0.000623	NA, -, NA, NA, -	{16.5: 0.01%, 17.5: 33.65%, 18.5: 10.11%, 19.5: 38.27%, 20.5: 4.66%, 21.5: 7.46%, 22.5: 4.98%, 23.5: 0.87%}	{16.5: 0.16%, 17.5: 15.26%, 18.5: 1.08%, 19.5: 63.94%, 20.5: 8.40%, 21.5: 5.63%, 22.5: 5.08%, 23.5: 0.46%}	{16.5: 0.03%, 17.5: 0.81%, 18.5: 0.87%, 19.5: 70.31%, 20.5: 6.57%, 21.5: 9.22%, 22.5: 12.06%, 23.5: 0.13%}	{16.5: 0.25%, 17.5: 9.05%, 18.5: 2.87%, 19.5: 54.61%, 20.5: 17.11%, 21.5: 12.43%, 22.5: 2.98%, 23.5: 0.71%}	{16.5: 0.15%, 17.5: 11.30%, 18.5: 3.71%, 19.5: 53.84%, 20.5: 16.07%, 21.5: 11.65%, 22.5: 2.70%, 23.5: 0.60%}
gamma_glutamyltransferase	8	59395436	59395476	8_58966172_59692885	AC	{14.5: 4.65%, 15.5: 19.34%, 16.5: 0.17%, 17.5: 8.61%, 18.5: 30.69%, 19.5: 1.47%, 20.5: 31.23%, 21.5: 1.33%, 22.5: 2.29%, 23.5: 0.22%, 24.5: 0.01%}	1.35e-26	+	intergenic	singly	0.961300158322808	0.734311	0.987960304568343	0.680083	0.737931	0.755328	0.608387	0.735754	0.0	0.256074	0.964593	0.899, 0.725, 0.0312, 0.197, 0.0387	NA, NA, +, NA, +	{14.5: 19.10%, 15.5: 29.29%, 16.5: 0.02%, 17.5: 3.17%, 18.5: 22.18%, 19.5: 0.26%, 20.5: 7.89%, 21.5: 6.13%, 22.5: 11.90%, 23.5: 0.05%, 24.5: 0.01%}	{14.5: 3.20%, 15.5: 14.61%, 16.5: 0.36%, 17.5: 1.72%, 18.5: 35.55%, 19.5: 1.29%, 20.5: 31.15%, 21.5: 3.90%, 22.5: 7.63%, 23.5: 0.55%, 24.5: 0.05%}	{14.5: 12.21%, 15.5: 16.67%, 16.5: 0.00%, 17.5: 0.33%, 18.5: 26.93%, 19.5: 0.25%, 20.5: 22.37%, 21.5: 10.35%, 22.5: 7.06%, 23.5: 1.32%, 24.5: 2.50%}	{14.5: 4.24%, 15.5: 18.62%, 16.5: 0.13%, 17.5: 9.77%, 18.5: 32.38%, 19.5: 1.43%, 20.5: 29.90%, 21.5: 1.02%, 22.5: 2.33%, 23.5: 0.18%, 24.5: 0.00%}	{14.5: 5.12%, 15.5: 20.32%, 16.5: 0.43%, 17.5: 8.44%, 18.5: 28.04%, 19.5: 1.15%, 20.5: 32.09%, 21.5: 1.65%, 22.5: 2.49%, 23.5: 0.26%, 24.5: 0.00%}
gamma_glutamyltransferase	12	121346985	121347001	12_119899606_122054055	A	{16.0: 0.00%, 17.0: 58.16%, 18.0: 36.21%, 19.0: 5.63%}	1.1e-22	+	intergenic	not	0.0	0.0										0.505, 0.587, 0.057, 0.196, 0.00599	NA, NA, NA, NA, +	{16.0: 3.97%, 17.0: 89.26%, 18.0: 5.78%, 19.0: 0.98%}	{16.0: 0.00%, 17.0: 76.67%, 18.0: 11.80%, 19.0: 11.52%}	{16.0: 0.01%, 17.0: 84.89%, 18.0: 14.77%, 19.0: 0.33%}	{16.0: 0.00%, 17.0: 58.21%, 18.0: 37.04%, 19.0: 4.75%}	{16.0: 0.04%, 17.0: 60.75%, 18.0: 33.65%, 19.0: 5.57%}
glucose	1	214163477	214163513	1_213870781_214380583	A	{32.0: 0.47%, 33.0: 4.30%, 34.0: 0.05%, 35.0: 49.67%, 36.0: 45.46%, 37.0: 0.04%}	1.37e-12	-	intron:PROX1:protein_coding	not	0.0	0.0										0.889, 0.191, 0.25, 0.0493, 0.146	NA, NA, NA, -, NA	{32.0: 0.04%, 33.0: 0.37%, 34.0: 0.01%, 35.0: 29.88%, 36.0: 60.04%, 37.0: 9.66%}	{32.0: 0.11%, 33.0: 3.05%, 34.0: 0.05%, 35.0: 57.11%, 36.0: 39.55%, 37.0: 0.13%}	{32.0: 0.00%, 33.0: 5.01%, 34.0: 0.62%, 35.0: 52.28%, 36.0: 42.04%, 37.0: 0.06%}	{32.0: 0.61%, 33.0: 3.75%, 34.0: 0.04%, 35.0: 50.56%, 36.0: 45.01%, 37.0: 0.02%}	{32.0: 0.38%, 33.0: 3.61%, 34.0: 0.08%, 35.0: 47.19%, 36.0: 48.61%, 37.0: 0.12%}
glucose	11	47332459	47332474	11_46336460_48068419	A	{15.0: 67.60%, 16.0: 15.15%, 17.0: 15.82%, 18.0: 1.43%}	2.04e-13	+	intron:MADD:protein_coding	not	0.0	0.0										0.112, 0.944, 0.792, 0.243, 0.013	NA, NA, NA, NA, +	{15.0: 48.46%, 16.0: 12.06%, 17.0: 39.39%, 18.0: 0.10%}	{15.0: 54.83%, 16.0: 23.35%, 17.0: 21.62%, 18.0: 0.20%}	{15.0: 30.21%, 16.0: 9.64%, 17.0: 59.98%, 18.0: 0.17%}	{15.0: 67.96%, 16.0: 14.68%, 17.0: 15.55%, 18.0: 1.81%}	{15.0: 70.17%, 16.0: 13.60%, 17.0: 15.29%, 18.0: 0.94%}
glycated_haemoglobin	1	214163477	214163513	1_213560818_214412420	A	{32.0: 0.47%, 33.0: 4.31%, 34.0: 0.05%, 35.0: 49.64%, 36.0: 45.49%, 37.0: 0.04%}	3.72e-31	-	intron:PROX1:protein_coding	not	0.0	0.0										0.73, 0.0371, 0.675, 0.00187, 0.156	NA, -, NA, -, NA	{32.0: 0.03%, 33.0: 0.42%, 34.0: 0.02%, 35.0: 30.15%, 36.0: 60.03%, 37.0: 9.35%}	{32.0: 0.11%, 33.0: 2.98%, 34.0: 0.05%, 35.0: 57.31%, 36.0: 39.40%, 37.0: 0.14%}	{32.0: 0.00%, 33.0: 5.00%, 34.0: 0.61%, 35.0: 52.14%, 36.0: 42.19%, 37.0: 0.06%}	{32.0: 0.64%, 33.0: 3.82%, 34.0: 0.05%, 35.0: 50.45%, 36.0: 45.02%, 37.0: 0.03%}	{32.0: 0.37%, 33.0: 3.60%, 34.0: 0.08%, 35.0: 47.18%, 36.0: 48.65%, 37.0: 0.12%}
glycated_haemoglobin	2	24208473	24208487	2_23744571_24794594	A	{15.0: 25.07%, 16.0: 54.73%, 17.0: 5.67%, 18.0: 12.08%, 21.0: 2.31%, 22.0: 0.12%}	2.43e-52	+	intron:UBXN2A:protein_coding	not	0.0	0.151306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.454019	0.00188, 0.991, 0.398, 9.14e-6, 0.00017	+, NA, NA, +, +	{15.0: 43.33%, 16.0: 44.74%, 17.0: 2.87%, 18.0: 8.84%, 21.0: 0.22%}	{15.0: 17.12%, 16.0: 61.64%, 17.0: 9.17%, 18.0: 11.54%, 21.0: 0.34%, 22.0: 0.18%}	{15.0: 15.27%, 16.0: 77.47%, 17.0: 3.05%, 18.0: 4.20%, 21.0: 0.01%}	{15.0: 24.92%, 16.0: 53.14%, 17.0: 6.88%, 18.0: 13.11%, 21.0: 1.80%, 22.0: 0.15%}	{15.0: 23.28%, 16.0: 57.45%, 17.0: 5.33%, 18.0: 11.92%, 21.0: 1.91%, 22.0: 0.11%}
glycated_haemoglobin	2	24093156	24093174	2_23744571_24794594	A	{19.0: 25.08%, 20.0: 48.88%, 21.0: 10.95%, 22.0: 0.05%, 25.0: 1.56%, 26.0: 13.45%, 27.0: 0.03%}	8.67e-56	+	intron:ATAD2B:protein_coding	singly	0.976564115089056	0.027641	0.0	0.0224735	0.0311739	0.0	0.0	0.0384653	0.0	0.0	0.0	0.0577, 0.751, 0.983, 0.000878, 0.00224	NA, NA, NA, +, +	{19.0: 38.39%, 20.0: 50.52%, 21.0: 1.91%, 22.0: 0.01%, 25.0: 0.74%, 26.0: 8.09%, 27.0: 0.36%}	{19.0: 17.47%, 20.0: 57.02%, 21.0: 10.80%, 22.0: 0.02%, 25.0: 0.53%, 26.0: 14.15%, 27.0: 0.01%}	{19.0: 15.66%, 20.0: 77.04%, 21.0: 0.74%, 25.0: 0.52%, 26.0: 6.03%, 27.0: 0.00%}	{19.0: 24.98%, 20.0: 49.59%, 21.0: 9.91%, 22.0: 0.05%, 25.0: 1.17%, 26.0: 14.27%, 27.0: 0.03%}	{19.0: 23.35%, 20.0: 51.01%, 21.0: 10.93%, 22.0: 0.06%, 25.0: 1.46%, 26.0: 13.16%, 27.0: 0.03%}
glycated_haemoglobin	3	171498332	171498342	3_171199489_171958266	A	{9.0: 43.30%, 10.0: 39.58%, 11.0: 17.12%}	7.91e-18	+	intron:PLD1:protein_coding	confidently	0.999994782303512	1.0	0.999994988055811	1.0	1.0	1.0	1.0	1.0	0.999966762280801	1.0	1.0	0.109, 0.441, 0.72, 0.487, 0.065	NA, NA, NA, NA, NA	{9.0: 18.24%, 10.0: 31.63%, 11.0: 50.13%}	{9.0: 34.59%, 10.0: 38.62%, 11.0: 26.80%}	{9.0: 36.77%, 10.0: 28.65%, 11.0: 34.58%}	{9.0: 41.25%, 10.0: 38.75%, 11.0: 20.00%}	{9.0: 40.38%, 10.0: 44.36%, 11.0: 15.26%}
glycated_haemoglobin	11	47332459	47332474	11_46434730_50907777	A	{15.0: 67.61%, 16.0: 15.14%, 17.0: 15.80%, 18.0: 1.44%}	4.48e-11	+	intron:MADD:protein_coding	not	0.0	0.0										0.258, 0.993, 0.18, 0.767, 0.265	NA, NA, NA, NA, NA	{15.0: 49.17%, 16.0: 11.74%, 17.0: 39.01%, 18.0: 0.09%}	{15.0: 55.01%, 16.0: 23.25%, 17.0: 21.56%, 18.0: 0.18%}	{15.0: 29.83%, 16.0: 9.96%, 17.0: 60.03%, 18.0: 0.18%}	{15.0: 68.15%, 16.0: 14.56%, 17.0: 15.49%, 18.0: 1.80%}	{15.0: 70.23%, 16.0: 13.55%, 17.0: 15.27%, 18.0: 0.94%}
glycated_haemoglobin	12	48487503	48487518	12_48067244_49960245	A	{14.0: 10.22%, 15.0: 0.11%, 16.0: 52.14%, 17.0: 36.33%, 18.0: 1.21%}	3.18e-76	+	intron:SENP1:protein_coding	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.507, 0.000114, 0.0253, 0.0148, 0.0000108	NA, +, +, +, +	{14.0: 5.61%, 15.0: 25.08%, 16.0: 38.50%, 17.0: 25.07%, 18.0: 5.74%}	{14.0: 2.22%, 15.0: 0.07%, 16.0: 51.16%, 17.0: 45.31%, 18.0: 1.24%}	{14.0: 0.26%, 15.0: 0.15%, 16.0: 16.31%, 17.0: 82.94%, 18.0: 0.34%}	{14.0: 9.43%, 15.0: 0.11%, 16.0: 49.62%, 17.0: 39.67%, 18.0: 1.17%}	{14.0: 8.83%, 15.0: 0.19%, 16.0: 52.23%, 17.0: 37.22%, 18.0: 1.53%}
glycated_haemoglobin	15	66018015	66018044	15_65570431_66224443	A	{30.0: 57.14%, 31.0: 18.97%, 32.0: 6.90%, 33.0: 16.99%}	1.22e-19	+	intron:DENND4A:protein_coding	not	0.0	0.189852										0.303, 0.0198, 0.209, 0.556, 0.0237	NA, +, NA, NA, +	{30.0: 13.70%, 31.0: 61.26%, 32.0: 10.35%, 33.0: 14.68%}	{30.0: 45.18%, 31.0: 17.06%, 32.0: 8.75%, 33.0: 29.01%}	{30.0: 16.14%, 31.0: 3.04%, 32.0: 5.01%, 33.0: 75.81%}	{30.0: 56.83%, 31.0: 17.62%, 32.0: 7.13%, 33.0: 18.42%}	{30.0: 56.26%, 31.0: 19.46%, 32.0: 6.55%, 33.0: 17.73%}
glycated_haemoglobin	16	287713	287728	16_0_665224	A	{16.0: 79.74%, 17.0: 17.45%, 18.0: 2.82%}	6.43e-12	-	intron:FAM234A:protein_coding	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500222	0.0322, 0.964, 0.689, 0.793, 0.0069	-, NA, NA, NA, -	{16.0: 72.94%, 17.0: 26.79%, 18.0: 0.27%}	{16.0: 73.40%, 17.0: 26.38%, 18.0: 0.22%}	{16.0: 83.64%, 17.0: 16.15%, 18.0: 0.21%}	{16.0: 80.99%, 17.0: 16.63%, 18.0: 2.38%}	{16.0: 79.58%, 17.0: 18.20%, 18.0: 2.22%}
glycated_haemoglobin	19	17252977	17253000	19_16987415_17559121	A	{20.0: 0.00%, 24.0: 60.29%, 25.0: 19.04%, 26.0: 20.61%, 27.0: 0.04%, 34.0: 0.01%}	1.32e-89	+	intron:MYO9B:protein_coding	confidently	0.999843085338454	1.0	0.99995225060662	1.0	1.0	1.0	1.0	1.0	0.999973670191032	1.0	1.0	0.37, 0.902, 0.248, 0.000298, 4.89e-6	NA, NA, NA, +, +	{20.0: 0.01%, 24.0: 31.74%, 25.0: 38.69%, 26.0: 24.96%, 27.0: 3.91%, 34.0: 0.70%}	{20.0: 0.06%, 24.0: 62.67%, 25.0: 15.56%, 26.0: 21.61%, 27.0: 0.06%, 34.0: 0.04%}	{20.0: 0.04%, 24.0: 66.14%, 25.0: 26.63%, 26.0: 7.18%, 27.0: 0.01%, 34.0: 0.00%}	{20.0: 0.00%, 24.0: 59.81%, 25.0: 19.81%, 26.0: 20.35%, 27.0: 0.02%, 34.0: 0.01%}	{20.0: 0.01%, 24.0: 61.81%, 25.0: 19.02%, 26.0: 18.91%, 27.0: 0.23%, 34.0: 0.02%}
glycated_haemoglobin	22	30363907	30363935	22_29915197_31045120	AC	{9.5: 0.00%, 11.5: 9.31%, 12.5: 0.02%, 13.5: 38.09%, 14.5: 25.13%, 15.5: 21.93%, 16.5: 5.47%, 17.5: 0.04%, 18.5: 0.01%}	6.29e-33	+	intron:MTMR3:protein_coding	confidently	0.99998698585592	1.0	0.999997968800905	1.0	1.0	1.0	1.0	1.0	0.999977534529932	1.0	1.0	0.664, 0.515, 0.399, 0.0829, 0.218	NA, NA, NA, NA, NA	{9.5: 0.00%, 11.5: 9.19%, 12.5: 0.88%, 13.5: 13.44%, 14.5: 6.95%, 15.5: 37.43%, 16.5: 28.53%, 17.5: 2.35%, 18.5: 1.24%}	{9.5: 0.00%, 11.5: 1.20%, 12.5: 0.00%, 13.5: 10.85%, 14.5: 30.24%, 15.5: 34.41%, 16.5: 20.46%, 17.5: 0.02%, 18.5: 2.83%}	{9.5: 0.00%, 11.5: 0.15%, 13.5: 18.01%, 14.5: 49.04%, 15.5: 18.17%, 16.5: 14.50%, 18.5: 0.14%}	{9.5: 0.00%, 11.5: 10.65%, 12.5: 0.01%, 13.5: 37.76%, 14.5: 23.79%, 15.5: 22.39%, 16.5: 5.36%, 17.5: 0.02%, 18.5: 0.01%}	{9.5: 0.01%, 11.5: 7.46%, 12.5: 0.03%, 13.5: 35.01%, 14.5: 28.59%, 15.5: 21.85%, 16.5: 6.92%, 17.5: 0.07%, 18.5: 0.05%}
haematocrit	2	12933992	12934006	2_12695382_13104245	A	{13.0: 0.00%, 14.0: 44.12%, 15.0: 43.62%, 16.0: 12.26%}	1.85e-11	-	intron:AC064875.2:lncRNA	not	0.0	0.00532348										0.321, 0.556, 0.0628, 0.825, 0.039	NA, NA, NA, NA, -	{13.0: 0.00%, 14.0: 23.13%, 15.0: 68.42%, 16.0: 8.45%}	{13.0: 0.01%, 14.0: 56.39%, 15.0: 37.10%, 16.0: 6.51%}	{13.0: 0.00%, 14.0: 84.42%, 15.0: 14.98%, 16.0: 0.59%}	{13.0: 0.00%, 14.0: 43.93%, 15.0: 43.67%, 16.0: 12.40%}	{13.0: 0.00%, 14.0: 45.26%, 15.0: 42.48%, 16.0: 12.26%}
haematocrit	3	141097028	141097042	3_140908481_141420050	A	{15.0: 55.29%, 16.0: 8.92%, 17.0: 35.79%}	6.87e-12	+	intron:ZBTB38:protein_coding	not	0.0	0.0677144										0.597, 0.0177, 0.868, 0.0434, 0.0883	NA, +, NA, +, NA	{15.0: 15.47%, 16.0: 43.99%, 17.0: 40.53%}	{15.0: 65.78%, 16.0: 15.23%, 17.0: 19.00%}	{15.0: 68.67%, 16.0: 28.63%, 17.0: 2.70%}	{15.0: 56.28%, 16.0: 7.99%, 17.0: 35.73%}	{15.0: 59.06%, 16.0: 8.33%, 17.0: 32.61%}
haematocrit	12	48487503	48487518	12_48157900_49367534	A	{14.0: 10.23%, 15.0: 0.11%, 16.0: 52.18%, 17.0: 36.28%, 18.0: 1.21%}	8.85e-35	-	intron:SENP1:protein_coding	confidently	0.997694453560503	1.0	0.999493095075118	0.987952	1.0	1.0	1.0	1.0	0.0	1.0	0.0376718	0.484, 0.00185, 0.533, 0.0169, 0.214	NA, -, NA, -, NA	{14.0: 5.66%, 15.0: 25.20%, 16.0: 38.36%, 17.0: 24.97%, 18.0: 5.82%}	{14.0: 2.25%, 15.0: 0.07%, 16.0: 50.96%, 17.0: 45.41%, 18.0: 1.31%}	{14.0: 0.26%, 15.0: 0.19%, 16.0: 16.26%, 17.0: 82.91%, 18.0: 0.40%}	{14.0: 9.48%, 15.0: 0.12%, 16.0: 49.86%, 17.0: 39.40%, 18.0: 1.14%}	{14.0: 8.74%, 15.0: 0.19%, 16.0: 52.22%, 17.0: 37.29%, 18.0: 1.55%}
haematocrit	14	64714051	64714074	14_64489770_65002135	AAAC	{5.0: 7.30%, 6.0: 44.78%, 7.0: 47.92%}	1.0e-26	-	intron:ESR2:protein_coding	confidently	0.998562104546555	1.0	0.999412071129716	1.0	1.0	1.0	1.0	1.0	0.994023560856651	0.99681	1.0	3.87e-6, 0.0832, 0.185, 0.265, 0.302	-, NA, NA, NA, NA	{5.0: 55.39%, 6.0: 9.27%, 7.0: 35.34%}	{5.0: 14.43%, 6.0: 52.71%, 7.0: 32.86%}	{5.0: 18.77%, 6.0: 30.64%, 7.0: 50.60%}	{5.0: 6.60%, 6.0: 45.51%, 7.0: 47.89%}	{5.0: 9.84%, 6.0: 42.70%, 7.0: 47.46%}
haematocrit	15	76246773	76246788	15_74906521_77652156	A	{14.0: 49.56%, 15.0: 47.81%, 16.0: 0.09%, 17.0: 2.54%}	3.72e-51	+	intron:NRG4:protein_coding	confidently	0.999999999999999	1.0	0.999999862298119	1.0	1.0	1.0	1.0	1.0	0.999998668558389	1.0	0.0	0.0888, 0.493, 0.92, 0.00162, 0.00053	NA, NA, NA, +, +	{14.0: 30.48%, 15.0: 49.31%, 16.0: 7.04%, 17.0: 13.17%}	{14.0: 66.59%, 15.0: 32.42%, 16.0: 0.39%, 17.0: 0.60%}	{14.0: 61.50%, 15.0: 36.85%, 16.0: 1.54%, 17.0: 0.11%}	{14.0: 50.23%, 15.0: 47.49%, 16.0: 0.06%, 17.0: 2.22%}	{14.0: 50.10%, 15.0: 47.78%, 16.0: 0.16%, 17.0: 1.96%}
haematocrit	17	44084292	44084364	17_42682790_45435296	AAAAT	{11.6: 22.89%, 12.6: 0.72%, 12.8: 0.01%, 13.6: 18.59%, 14.6: 57.64%, 15.6: 0.15%, 17.6: 0.00%}	1.78e-45	-	intron:MAPT:protein_coding	not	0.0	0.0										0.96, 0.473, 0.695, 0.0000409, 0.0516	NA, NA, NA, -, NA	{11.6: 2.15%, 12.6: 5.66%, 12.8: 1.77%, 13.6: 18.39%, 14.6: 67.56%, 15.6: 3.91%, 17.6: 0.56%}	{11.6: 8.31%, 12.6: 0.61%, 12.8: 0.01%, 13.6: 15.19%, 14.6: 75.80%, 15.6: 0.08%, 17.6: 0.00%}	{11.6: 0.49%, 12.6: 0.14%, 12.8: 0.02%, 13.6: 27.72%, 14.6: 70.04%, 15.6: 1.58%, 17.6: 0.00%}	{11.6: 20.96%, 12.6: 0.71%, 12.8: 0.01%, 13.6: 19.74%, 14.6: 58.45%, 15.6: 0.14%, 17.6: 0.00%}	{11.6: 21.58%, 12.6: 0.79%, 12.8: 0.02%, 13.6: 16.65%, 14.6: 60.76%, 15.6: 0.19%, 17.6: 0.00%}
